ticker,SONO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-02,32.7333
2018-08-03,5.2235
2018-08-06,-7.6372
2018-08-07,-1.0336
2018-08-08,-5.2742
2018-08-09,-7.9934
2018-08-10,10.7849
2018-08-13,-7.0849
2018-08-14,-1.8626
2018-08-15,4.567
2018-08-16,-1.5882
2018-08-17,6.3401
2018-08-20,5.2575
2018-08-21,3.3986
2018-08-22,8.0179
2018-08-23,-3.965
2018-08-24,-2.9765
2018-08-27,-6.383
2018-08-28,6.6068
2018-08-29,-4.71
2018-08-30,-1.7690000000000001
2018-08-31,2.0127
2018-09-04,-0.3634
2018-09-05,-1.0943
2018-09-06,-4.0569
2018-09-07,2.9654
2018-09-10,13.28
2018-09-11,-22.0339
2018-09-12,3.6231999999999998
2018-09-13,-2.5641
2018-09-14,-0.4187
2018-09-17,-8.7087
2018-09-18,-7.0395
2018-09-19,1.6631
2018-09-20,-3.0978
2018-09-21,-4.8850999999999996
2018-09-24,6.1934
2018-09-25,-4.9787
2018-09-26,7.1856
2018-09-27,0.6285
2018-09-28,11.3116
2018-10-01,-8.1671
2018-10-02,-3.4623
2018-10-03,3.3052
2018-10-04,-1.1572
2018-10-05,-1.1708
2018-10-08,-0.2787
2018-10-09,-4.9616
2018-10-10,-1.8382
2018-10-11,-1.3483
2018-10-12,-4.5558
2018-10-15,0.6364
2018-10-16,4.5059000000000005
2018-10-17,-1.7398
2018-10-18,-2.3865
2018-10-19,-4.1798
2018-10-22,1.7284000000000002
2018-10-23,4.7735
2018-10-24,-5.6371
2018-10-25,2.5368
2018-10-26,-3.5914
2018-10-29,-0.4139
2018-10-30,0.665
2018-10-31,4.9546
2018-11-01,7.4744
2018-11-02,-3.3675
2018-11-05,-4.6212
2018-11-06,5.4805
2018-11-07,2.4096
2018-11-08,3.5294
2018-11-09,1.6335
2018-11-12,-4.0531
2018-11-13,-1.311
2018-11-14,2.8044000000000002
2018-11-15,1.6511
2018-11-16,9.0395
2018-11-19,-11.2047
2018-11-20,-2.8446
2018-11-21,-5.2553
2018-11-23,-3.8035
2018-11-26,-4.3657
2018-11-27,-1.1197
2018-11-28,4.2683
2018-11-29,0.2506
2018-11-30,2.3333
2018-12-03,0.4886
2018-12-04,-2.107
2018-12-06,4.3046
2018-12-07,-0.7143
2018-12-10,0.7994
2018-12-11,-3.8064999999999998
2018-12-12,1.7311999999999999
2018-12-13,-2.269
2018-12-14,-5.5556
2018-12-17,-5.7068
2018-12-18,-1.9553
