ticker,AFOM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-13,44.0
2014-06-30,-2.7778
2015-08-04,114.2857
2015-08-05,166.6667
2015-08-13,0.0
2015-08-17,0.0
2015-08-18,-0.5
2015-08-19,-7.5377
2015-08-20,-32.0652
2015-08-21,0.0
2015-08-25,-20.0
2015-10-22,50.0
2015-11-05,-16.6667
2015-11-16,28.0
2015-11-30,12.5
2015-12-11,52.7778
2015-12-22,-27.2727
2016-01-08,92.5
2016-03-09,-37.6623
2016-03-14,-20.8125
2016-03-16,-47.3823
2016-03-22,-58.0
2016-03-29,-11.9048
2016-04-04,0.0
2016-04-25,-5.4054
2016-04-26,-14.2857
2016-04-27,-16.6667
2016-04-28,-32.0
2016-05-03,-35.2941
2016-05-10,81.8182
2016-06-07,-15.0
2016-06-08,25.8824
2016-06-10,-6.5421
2016-06-14,0.0
2016-06-15,0.0625
2016-06-22,9.9313
2016-06-27,-0.9091
2016-06-29,0.9174
2016-06-30,13.6364
2016-07-07,-8.0
2016-07-08,-13.0435
2016-07-11,10.0
2016-07-18,0.0
2016-07-21,-27.2727
2016-07-25,0.0
2016-07-26,23.0469
2016-08-04,16.8254
2016-08-05,0.0
2016-08-08,-17.6087
2016-08-10,21.372
2016-08-11,43.4783
2016-08-18,-9.0909
2016-08-19,33.3333
2016-08-23,21.25
2016-08-24,3.0928
2016-08-29,7.0
2016-09-01,0.7477
2016-09-09,-18.3673
2016-09-12,15.9091
2016-09-16,0.0
2016-09-21,-5.8824
2016-09-28,-6.25
2016-09-29,-6.6667
2016-09-30,5.4762
2016-10-03,-14.2212
2016-10-17,6.3158
2016-10-25,-13.3663
2016-11-11,7.4286
2016-12-12,-9.5745
2016-12-14,-11.7647
2016-12-29,-33.3333
2016-12-30,-25.0
2017-01-13,-33.3333
2017-01-19,0.0
2017-01-20,50.0
2017-01-23,-15.3333
2017-01-25,17.3228
2017-01-26,0.6711
2017-01-30,-20.0
2017-01-31,0.0
2017-02-02,0.0
2017-02-03,25.0
2017-02-06,6.6667
2017-02-07,18.75
2017-02-08,0.0
2017-02-09,-15.7895
2017-02-10,6.25
2017-02-13,17.647100000000002
2017-02-14,-0.0625
2017-02-15,-14.9468
2017-02-16,-5.8824
2017-02-17,-4.1406
2017-02-21,12.1434
2017-02-22,3.9971
2017-02-23,-27.3235
2017-02-24,-7.6923
2017-02-27,16.6667
2017-02-28,10.7143
2017-03-01,-6.129
2017-03-02,-9.9656
2017-03-03,0.0
2017-03-06,-4.5802
