ticker,BLHK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-12-11,-20.4545
2008-12-26,0.0
2008-12-29,0.0
2008-12-31,25.1429
2009-03-26,-9.1324
2009-05-26,-39.6985
2009-08-07,-8.3333
2009-08-18,-9.0909
2009-08-19,0.0
2009-08-26,10.0
2009-10-22,9.0909
2009-11-24,-8.3333
2009-12-11,-3.6364
2009-12-16,33.0189
2009-12-17,-0.1418
2009-12-28,-0.5682
2009-12-29,-16.4286
2009-12-31,0.3419
2010-01-20,10.7325
2010-01-21,0.0
2010-02-04,-6.9231
2010-02-05,0.0
2010-02-12,7.438
2010-02-16,-7.6923
2010-02-17,0.0
2010-02-19,8.3333
2010-02-22,0.0
2010-03-09,7.6923
2010-03-11,-6.4286
2010-03-19,3.0534
2010-03-23,0.0
2010-03-25,-2.963
2010-04-06,1.5267
2010-04-08,1.5038
2010-04-09,-3.7037
2010-04-15,-1.5385
2010-04-19,1.5625
2010-04-20,0.0
2010-04-28,-2.3077
2010-05-03,0.0
2010-05-04,-0.7874
2010-05-11,3.1746
2010-05-19,-5.3846
2010-05-25,-15.2846
2010-06-08,5.5662
2010-07-14,9.0909
2010-07-19,-15.0
2010-08-11,0.9804
2010-08-18,16.5049
2010-08-27,16.6667
2010-09-07,0.7143
2010-09-27,-14.8936
2010-10-13,17.5
2010-10-20,-14.8936
2010-10-22,16.6667
2010-10-29,43.0
2010-11-09,-15.0849
2010-12-01,-15.8824
2010-12-07,-12.5874
2010-12-15,-4.0
2010-12-20,-0.8333
2011-01-03,-7.563
2011-02-08,9.0909
2011-02-18,-12.1667
2011-03-02,-0.1898
2011-03-17,1.9011
2011-03-22,0.7463
2011-03-25,11.1111
2011-03-28,-8.3333
2011-03-29,0.0
2011-04-25,5.4545
2011-05-04,-3.4483
2011-05-05,0.0
2011-05-12,2.6786
2011-05-18,-2.6087
2011-06-10,0.0
2011-06-13,8.0357
2011-06-23,0.8264
2011-06-27,0.0
2011-07-13,3.2787
2011-07-22,0.0
2011-08-11,-20.634900000000002
2011-08-12,0.0
2011-08-18,3.4
2011-08-19,0.0
2011-10-11,-1.354
2011-10-14,17.647100000000002
2011-10-25,0.0
2011-11-11,15.8333
2011-11-14,-13.6691
2011-12-15,-14.1667
2011-12-16,2.1359
2011-12-19,-3.0418
2011-12-23,23.5294
2012-01-04,-15.0794
2012-01-26,-14.9533
2012-02-13,21.978
2012-02-14,-9.9099
2012-02-15,11.0
2012-02-16,0.0
2012-02-17,8.1081
