ticker,CPAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-17,0.0
2014-09-09,250.0
2014-09-16,-42.2857
2014-09-22,-49.505
2014-09-30,-21.5686
2014-10-08,150.0
2014-12-09,-75.0
2014-12-10,0.0
2014-12-12,-16.0
2014-12-15,-4.7619
2014-12-16,0.0
2014-12-18,-20.0
2014-12-19,0.0
2014-12-22,56.25
2014-12-23,-20.0
2015-01-09,0.0
2015-01-13,-34.0
2015-01-21,2.2727
2015-01-22,-18.5185
2015-01-26,18.1818
2015-01-27,3.8462
2015-01-28,-18.5185
2015-01-29,36.3636
2015-02-06,-10.0
2015-02-17,10.3704
2015-02-18,-16.1074
2015-02-19,-4.0
2015-02-20,-8.3333
2015-02-24,4.5455
2015-02-26,-4.3478
2015-02-27,-9.0909
2015-03-02,5.0
2015-03-04,-4.7619
2015-03-05,7.0
2015-03-09,-1.8692
2015-03-10,-4.7619
2015-03-12,0.0
2015-03-13,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-26,-10.0
2015-03-27,11.1111
2015-03-31,0.0
2015-04-06,-20.0
2015-04-10,50.0
2015-04-14,-8.3333
2015-04-15,-17.1591
2015-04-16,9.7394
2015-04-17,10.0
2015-04-28,-17.1591
2015-05-11,-34.1564
2015-05-20,0.0
2015-05-21,8.3333
2015-05-27,0.0
2015-06-02,-30.7692
2015-06-03,33.3333
2015-06-04,0.0
2015-06-15,0.0
2015-06-16,8.3333
2015-06-17,7.6923
2015-06-19,-0.7143
2015-06-22,-14.0288
2015-06-23,0.4184
2015-06-30,-3.3333
2015-07-07,-13.7931
2015-07-08,-22.0
2015-07-09,7.6923
2015-07-10,19.0476
2015-07-13,-16.0
2015-07-15,0.0
2015-07-29,-16.6667
2015-07-30,0.0
2015-08-03,11.4286
2015-08-10,-43.5897
2015-08-24,59.0909
2015-08-25,0.0
2015-08-31,0.0
2015-09-02,-40.0
2015-09-03,0.0
2015-09-04,-9.5238
2015-09-09,-10.526299999999999
2015-09-14,-11.7647
2015-09-15,6.6667
2015-09-16,28.125
2015-09-17,-21.9512
2015-09-18,118.75
2015-09-22,0.0
2015-09-28,0.0
2015-09-30,-42.8571
2015-10-08,25.0
2015-10-16,-20.0
2015-10-30,-20.0
2015-11-05,-6.25
2015-11-12,0.0
2015-11-25,0.0
2015-11-30,0.0
2015-12-21,-13.3333
2016-01-19,-7.6923
2016-01-21,0.0
2016-01-25,50.0
2016-01-27,6.5972
2016-03-18,-21.8241
2016-03-22,0.0
