ticker,NTEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-04,23.1954
2015-08-03,-70.0
2015-08-04,0.0
2015-08-05,0.5
2015-08-06,1.1609
2015-08-07,-1.8033000000000001
2015-08-10,1.5025
2015-08-11,-0.6579
2015-08-12,-0.1656
2015-08-13,0.8624
2015-08-14,0.296
2015-08-17,0.0
2015-08-18,-0.1639
2015-08-19,-0.6568
2015-08-20,-0.3306
2015-08-21,-1.4925
2015-08-24,-5.2189
2015-08-25,2.8419
2015-08-26,-0.6908
2015-08-27,-1.2174
2015-08-28,1.2324
2015-08-31,-3.4783
2015-09-01,-0.5405
2015-09-02,3.0797
2015-09-03,0.1757
2015-09-04,-0.5263
2015-09-08,-0.3527
2015-09-09,-0.885
2015-09-10,0.8929
2015-09-11,-0.177
2015-09-14,3.3688000000000002
2015-09-15,0.1715
2015-09-16,2.5685000000000002
2015-09-17,-0.3339
2015-09-18,3.6851000000000003
2015-09-21,-3.5541
2015-09-22,-0.67
2015-09-23,-0.3373
2015-09-24,0.3384
2015-09-25,-0.8432
2015-09-28,-3.5714
2015-09-29,1.7637
2015-09-30,-2.9463
2015-10-01,-1.6071
2015-10-02,1.8149
2015-10-05,1.426
2015-10-06,-2.6362
2015-10-07,-0.5415
2015-10-08,0.5445
2015-10-09,0.1805
2015-10-12,9.7297
2015-10-13,-8.2102
2015-10-14,-0.1789
2015-10-15,1.7921
2015-10-16,-0.3521
2015-10-19,-0.53
2015-10-20,0.1776
2015-10-21,0.0
2015-10-22,3.9007
2015-10-23,0.1706
2015-10-26,-1.7014
2015-10-27,2.7707
2015-10-28,0.0
2015-10-29,-0.6745
2015-10-30,-0.3396
2015-11-02,0.8518
2015-11-03,-0.5068
2015-11-04,-0.8489
2015-11-05,-1.0274
2015-11-06,0.0
2015-11-09,-0.346
2015-11-10,1.5625
2015-11-11,1.3675
2015-11-12,0.1686
2015-11-13,1.0101
2015-11-16,-3.1667
2015-11-17,1.8933
2015-11-18,-0.3378
2015-11-19,-1.3559
2015-11-20,1.0309
2015-11-23,0.1701
2015-11-24,-3.056
2015-11-25,-0.7005
2015-11-27,3.1746
2015-11-30,1.3675
2015-12-01,-0.1686
2015-12-02,-0.5068
2015-12-03,-1.1885
2015-12-04,2.4055
2015-12-07,0.5034
2015-12-08,-2.5042
2015-12-09,-0.6849
2015-12-10,-0.8621
2015-12-11,-3.4783
2015-12-14,0.7207
2015-12-15,1.6099999999999999
2015-12-16,-3.8731999999999998
2015-12-17,0.1832
