ticker,LJPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.7037
2000-01-04,9.5238
2000-01-05,-10.8696
2000-01-06,12.1951
2000-01-07,6.5217
2000-01-10,10.2041
2000-01-11,18.5185
2000-01-12,-12.5
2000-01-13,0.0
2000-01-14,3.5714
2000-01-18,3.4483
2000-01-19,-3.3333
2000-01-20,0.0
2000-01-21,6.8966
2000-01-24,-0.8065
2000-01-25,-2.439
2000-01-26,3.3333
2000-01-27,1.6129
2000-01-28,-6.3492
2000-01-31,5.0847
2000-02-01,-3.2258
2000-02-02,0.0
2000-02-03,5.0
2000-02-04,-1.5873
2000-02-07,-1.6129
2000-02-08,1.6393
2000-02-09,-3.2258
2000-02-10,16.6667
2000-02-11,13.5714
2000-02-14,4.717
2000-02-15,2.1021
2000-02-16,42.3529
2000-02-17,3.3058
2000-02-18,-2.0
2000-02-22,-10.2041
2000-02-23,-1.8182
2000-02-24,-11.1111
2000-02-25,7.2917
2000-02-28,1.9417
2000-02-29,17.1429
2000-03-01,-3.252
2000-03-02,21.8487
2000-03-03,10.3448
2000-03-06,20.625
2000-03-07,-16.0622
2000-03-08,-6.1728
2000-03-09,-7.8947
2000-03-10,-3.5714
2000-03-13,2.963
2000-03-14,-22.3022
2000-03-15,4.6296
2000-03-16,2.6549
2000-03-17,3.4483
2000-03-20,-15.8333
2000-03-21,-22.7723
2000-03-22,26.9231
2000-03-23,20.7071
2000-03-24,-14.6444
2000-03-27,1.9607999999999999
2000-03-28,7.6923
2000-03-29,-13.392900000000001
2000-03-30,-11.3402
2000-03-31,22.093
2000-04-03,-14.2857
2000-04-04,2.2222
2000-04-05,-4.3478
2000-04-06,9.0909
2000-04-07,-6.25
2000-04-10,-8.8889
2000-04-11,-2.439
2000-04-12,-0.3125
2000-04-13,-14.7335
2000-04-14,-18.3824
2000-04-17,-9.9099
2000-04-18,20.0
2000-04-19,0.0
2000-04-20,3.3333
2000-04-24,3.2258
2000-04-25,4.6875
2000-04-26,-8.209
2000-04-27,0.813
2000-04-28,0.0
2000-05-01,3.2258
2000-05-02,-1.5625
2000-05-03,7.9365
2000-05-04,1.4706000000000001
2000-05-05,-5.7971
2000-05-08,-3.0769
2000-05-09,-1.5873
2000-05-10,-3.2258
2000-05-11,0.0
2000-05-12,3.3333
2000-05-15,-3.2258
2000-05-16,-8.3333
2000-05-17,1.8182
2000-05-18,10.7143
2000-05-19,-1.6129
2000-05-22,-1.6393
2000-05-23,-6.6667
2000-05-24,-7.1429
