ticker,CLOQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-23,0.0
2013-01-28,-60.7843
2013-01-29,0.0
2013-04-10,-45.0
2013-04-23,36.3636
2013-05-30,20.0
2013-05-31,-16.1111
2013-06-03,-0.6623
2013-06-04,-8.0
2013-06-05,0.7246
2013-06-10,4.3165
2013-06-14,0.0
2013-06-17,-4.8276
2013-06-18,15.942
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,0.0
2013-06-24,6.25
2013-06-25,8.8235
2013-06-26,8.1081
2013-06-27,-2.5
2013-06-28,-2.5641
2013-07-01,-15.2632
2013-07-02,-13.0435
2013-07-03,21.4286
2013-07-05,-5.8824
2013-07-08,-6.25
2013-07-09,9.9167
2013-07-10,-15.0872
2013-07-11,-14.2857
2013-07-12,25.0
2013-07-15,0.0
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,-2.6667
2013-07-19,2.7397
2013-07-22,-3.0
2013-07-23,2.4055
2013-07-24,0.0
2013-07-25,-22.8188
2013-07-26,25.2174
2013-07-29,-16.6667
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,-7.5
2013-08-02,8.1081
2013-08-05,16.6667
2013-08-06,-7.1429
2013-08-07,7.6923
2013-08-08,0.0
2013-08-09,-14.2857
2013-08-12,20.8333
2013-08-13,-10.3448
2013-08-14,-7.6923
2013-08-15,-50.0
2013-08-16,-4.4792
2013-08-19,39.5856
2013-08-21,-12.5
2013-08-22,34.2857
2013-08-23,1.0638
2013-08-26,0.0
2013-08-27,-5.2632
2013-08-28,-11.1111
2013-08-29,18.75
2013-08-30,-8.4211
2013-09-03,1.1494
2013-09-04,2.2727
2013-09-06,-5.5556
2013-09-09,0.0
2013-09-10,-17.647100000000002
2013-09-12,14.2857
2013-09-13,-25.0
2013-09-16,16.6667
2013-09-17,0.0
2013-09-18,0.0
2013-09-23,0.0
2013-09-24,15.7143
2013-09-25,11.1111
2013-09-27,5.5556
2013-09-30,-5.2632
2013-10-03,0.0
2013-10-10,-12.2222
2013-10-11,-10.1266
2013-10-15,-1.4085
2013-10-18,-28.5714
2013-10-22,40.0
2013-10-25,0.0
2013-10-28,-7.1429
2013-10-29,30.7692
2013-11-04,-11.7647
2013-11-11,-32.0
2013-11-12,33.3333
2013-11-14,-11.7647
2013-11-15,41.6667
2013-11-19,-29.4118
2013-11-26,25.0
2013-11-29,-18.6667
2013-12-03,14.7541
2013-12-10,-35.7143
2013-12-20,33.3333
2013-12-23,-0.2083
2013-12-26,-16.4927
