ticker,SALT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-12,-2.5641
2013-12-13,2.6316
2013-12-16,-0.6154
2013-12-17,-0.3096
2013-12-18,-0.7246
2013-12-19,-1.9811999999999999
2013-12-20,-0.2128
2013-12-23,3.4115
2013-12-24,3.6082
2013-12-26,-0.6965
2013-12-27,0.1002
2013-12-30,-2.4024
2013-12-31,3.0769
2014-01-02,-3.2836
2014-01-03,-0.1029
2014-01-06,0.206
2014-01-07,0.7194
2014-01-08,1.6327
2014-01-09,-1.004
2014-01-10,0.4057
2014-01-13,-0.8081
2014-01-14,-0.2037
2014-01-15,4.4898
2014-01-16,3.3203
2014-01-17,-2.1739
2014-01-21,0.8696
2014-01-22,-1.5326
2014-01-23,-3.6965
2014-01-24,-2.5253
2014-01-27,1.2435
2014-01-28,1.9447
2014-01-29,-1.004
2014-01-30,-0.3055
2014-01-31,-0.1005
2014-02-03,-2.6477
2014-02-04,3.7657
2014-02-05,-1.0081
2014-02-06,-1.222
2014-02-07,0.3093
2014-02-10,0.0
2014-02-11,0.1028
2014-02-12,-0.4107
2014-02-13,0.0
2014-02-14,-1.134
2014-02-18,-0.3128
2014-02-19,-2.6151
2014-02-20,-0.1074
2014-02-21,0.3226
2014-02-24,-0.7503
2014-02-25,-1.0799
2014-02-26,2.6201
2014-02-27,0.5319
2014-02-28,0.0
2014-03-03,-0.5291
2014-03-04,2.4468
2014-03-05,0.8307
2014-03-06,1.3388
2014-03-07,3.252
2014-03-10,-1.5748
2014-03-11,0.2
2014-03-12,-1.6966
2014-03-13,-2.6395999999999997
2014-03-14,-3.024
2014-03-17,3.6559
2014-03-18,1.1411
2014-03-19,0.7179
2014-03-20,-0.7128
2014-03-21,0.9231
2014-03-24,0.813
2014-03-25,-0.7056
2014-03-26,-0.3046
2014-03-27,0.3055
2014-03-28,0.4061
2014-03-31,2.2245
2014-04-01,1.3848
2014-04-02,-1.2683
2014-04-03,-0.6917
2014-04-04,-1.6915
2014-04-07,-2.4291
2014-04-08,-0.1037
2014-04-09,1.4538
2014-04-10,-2.6612
2014-04-11,-3.0494
2014-04-14,-1.0846
2014-04-15,0.8772
2014-04-16,0.6522
2014-04-17,0.6479
2014-04-21,-0.3219
2014-04-22,0.8611
2014-04-23,-0.7471
2014-04-24,-1.1828
2014-04-25,-1.741
2014-04-28,-2.5471
2014-04-29,0.5682
2014-04-30,1.1299
2014-05-01,-2.1229
2014-05-02,1.9405999999999999
2014-05-05,0.8959
2014-05-06,-2.6637
