ticker,SBDG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-15,-81.8182
2008-04-16,0.0
2008-04-17,0.0
2008-04-25,-50.0
2008-04-30,160.0
2008-05-27,0.0
2008-06-10,-61.5385
2008-07-28,20.0
2008-07-29,-16.6667
2008-07-31,20.0
2008-08-01,16.6667
2008-08-04,7.1429
2008-08-05,33.3333
2008-08-06,90.0
2008-08-07,31.5789
2008-08-08,-6.0
2008-08-11,-6.383
2008-08-13,-31.8182
2008-08-18,0.0
2008-08-21,13.3333
2008-08-25,-11.7647
2008-08-26,0.0
2008-08-27,-16.6667
2008-08-28,-4.0
2008-09-08,25.0
2008-09-09,0.0
2008-09-10,-6.6667
2008-09-11,7.1429
2008-09-12,0.0
2008-09-15,0.0
2008-09-18,0.0
2008-09-22,-16.6667
2008-09-23,-36.0
2008-09-25,50.0
2008-09-26,-16.6667
2008-10-01,-25.0
2008-10-06,-6.6667
2008-10-07,0.0
2008-10-13,0.0
2008-10-14,0.0
2008-10-15,-14.2857
2008-10-17,16.6667
2008-10-20,-28.5714
2008-10-21,0.0
2008-10-23,50.0
2008-10-27,-33.3333
2008-10-28,0.0
2008-10-29,0.0
2008-10-31,2.0
2008-11-06,-1.9607999999999999
2008-11-12,0.0
2008-11-17,0.0
2008-11-21,0.0
2008-12-08,0.0
2008-12-17,0.0
2009-01-07,0.0
2009-01-26,50.0
2009-03-31,-26.6667
2009-04-01,0.0
2009-04-09,-0.9091
2009-04-13,-3.6696999999999997
2009-04-14,-3.8095
2009-04-17,0.0
2009-04-20,7.9208
2009-04-21,0.0
2009-04-22,-3.6696999999999997
2009-04-23,-50.4762
2009-04-28,94.2308
2009-04-30,7.9208
2009-05-11,-53.211
2009-05-13,17.647100000000002
2009-06-01,-96.6667
2009-06-17,4650.0
2009-07-08,-95.7895
2009-08-10,-25.0
2009-09-18,-33.3333
2009-09-21,50.0
2009-09-22,-50.0
2009-09-23,0.0
2009-09-24,0.0
2009-09-25,-33.3333
2009-09-28,0.0
2009-09-30,-30.0
2009-10-01,42.8571
2009-10-02,-76.25
2009-10-05,26.3158
2009-10-06,-12.5
2009-10-07,7.1429
2009-10-08,6.6667
2009-10-09,29.1667
2009-10-12,16.129
2009-10-13,-26.3889
2009-10-14,45.283
2009-10-15,3.8961
2009-10-16,-20.0
2009-10-19,37.5
2009-10-20,-27.2727
2009-10-21,-25.0
2009-10-22,12.5
2009-10-23,14.8148
2009-10-26,-4.8387
2009-10-27,0.0
2009-10-28,0.0
