ticker,HEBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-27,46.25
2016-12-28,-2.906
2016-12-29,-4.9296
2016-12-30,-8.3333
2017-01-03,-5.5126
2017-01-04,26.7873
2017-01-05,-15.683
2017-01-06,2.4
2017-01-09,-8.5938
2017-01-10,-10.0427
2017-01-11,0.9501
2017-01-12,0.4706
2017-01-13,-2.8103
2017-01-17,5.0602
2017-01-18,-3.6696999999999997
2017-01-19,-3.5714
2017-01-20,0.2469
2017-01-23,0.7389
2017-01-24,2.1363
2017-01-25,-3.5279
2017-01-26,0.4963
2017-01-27,-2.2222
2017-01-30,-4.0404
2017-01-31,-2.6316
2017-02-01,7.027
2017-02-02,-6.5657
2017-02-03,6.7568
2017-02-06,1.8987
2017-02-07,0.3727
2017-02-08,0.7426
2017-02-09,0.4914
2017-02-10,-1.7115
2017-02-13,1.2438
2017-02-14,-0.2457
2017-02-15,-0.6373
2017-02-16,0.6414
2017-02-17,3.4483
2017-02-21,-1.4285999999999999
2017-02-22,-2.4154999999999998
2017-02-23,0.0
2017-02-24,-0.495
2017-02-27,-1.4925
2017-02-28,-4.5455
2017-03-01,1.0582
2017-03-02,-13.6126
2017-03-03,4.8485
2017-03-06,-3.1792
2017-03-07,10.1493
2017-03-08,6.5041
2017-03-09,1.5267
2017-03-10,2.005
2017-03-13,-1.9656
2017-03-14,0.0
2017-03-15,-2.2556
2017-03-16,-0.2564
2017-03-17,-5.6555
2017-03-20,-4.0872
2017-03-21,-1.9886
2017-03-22,-1.1594
2017-03-23,-1.4663
2017-03-24,-0.2976
2017-03-27,0.2985
2017-03-28,2.6786
2017-03-29,-0.2899
2017-03-30,-2.3256
2017-03-31,-2.9762
2017-04-03,-2.1471999999999998
2017-04-04,-0.3135
2017-04-05,4.0881
2017-04-06,0.3021
2017-04-07,0.9036
2017-04-10,0.0
2017-04-11,1.4925
2017-04-12,2.0588
2017-04-13,2.0173
2017-04-17,0.565
2017-04-18,2.809
2017-04-19,0.2732
2017-04-20,1.9074
2017-04-21,0.2674
2017-04-24,5.0667
2017-04-25,3.0457
2017-04-26,0.4926
2017-04-27,-0.4902
2017-04-28,-0.2463
2017-05-01,0.2469
2017-05-02,-6.8966
2017-05-03,6.5179
2017-05-04,0.4129
2017-05-05,-0.0742
2017-05-08,-0.495
2017-05-09,0.2488
2017-05-10,2.2333
2017-05-11,2.9126
2017-05-12,-0.2358
2017-05-15,-0.9456
2017-05-16,-3.8186
2017-05-17,-2.4814
