ticker,BCLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-05-29,-5.5556
2003-05-30,5.8824
2003-06-03,-5.5556
2003-06-04,23.5294
2003-06-12,-9.5238
2003-06-19,215.7895
2003-06-20,-13.3333
2003-07-31,69.2308
2003-08-01,36.3636
2003-08-06,33.3333
2003-08-08,27.5
2003-09-04,56.8627
2003-09-22,27.5
2003-10-02,-1.9607999999999999
2003-10-03,10.0
2003-10-06,0.0
2003-10-08,-7.2727
2003-10-09,9.8039
2003-10-14,16.0714
2003-10-15,23.0769
2003-10-16,11.25
2003-10-17,17.9775
2003-10-20,12.381
2003-10-21,1.6949
2003-10-31,0.0
2003-11-04,-6.6667
2003-11-05,-1.7856999999999998
2003-11-06,1.8182
2003-11-07,7.1429
2003-11-11,-5.8333
2003-11-18,-7.0796
2003-12-02,0.0
2003-12-09,-3.8095
2003-12-16,-10.8911
2003-12-17,16.6667
2003-12-18,-4.7619
2004-02-11,5.0
2004-02-12,-3.8095
2004-02-13,0.0
2004-02-17,3.9604
2004-02-24,-0.9524
2004-02-26,-0.4808
2004-03-08,14.9758
2004-03-09,0.0
2004-03-11,0.8403
2004-05-21,-50.0
2004-05-24,65.0
2004-05-25,-19.1919
2004-05-27,-17.5
2004-06-04,6.0606
2004-06-08,4.2857
2004-06-09,2.7397
2004-06-17,0.0
2004-06-21,6.6667
2004-06-22,0.0
2004-06-24,0.0
2004-06-30,25.0
2004-07-01,10.0
2004-07-02,-4.5455
2004-07-07,-14.2857
2004-07-08,1.1111
2004-07-12,19.7802
2004-07-23,-3.6696999999999997
2004-07-28,-15.2381
2004-07-30,23.5955
2004-08-02,-4.5455
2004-08-09,-27.619
2004-08-10,11.8421
2004-08-13,-5.8824
2004-08-17,-5.0
2004-08-18,0.0
2004-08-19,5.2632
2004-08-24,0.0
2004-08-31,36.25
2004-09-01,-17.4312
2004-09-02,-1.1111
2004-09-08,23.5955
2004-09-14,-13.6364
2004-09-20,18.947400000000002
2004-09-23,-7.0796
2004-09-27,8.5714
2004-09-29,-7.0175
2004-10-07,1.8868
2004-10-08,-4.6296
2004-10-11,2.9126
2004-10-12,1.8868
2004-10-18,3.7037
2004-10-25,1.7856999999999998
2004-10-27,-0.8772
2004-11-01,5.3097
2004-11-02,0.7563
2004-11-04,4.2535
2004-11-09,0.0
2004-11-10,0.8
2004-11-11,0.3968
2004-11-16,6.7194
2004-11-18,-0.0741
2004-11-22,7.1164
2004-11-23,17.647100000000002
2004-11-24,0.0
