ticker,DOCU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-27,37.0
2018-04-30,-2.7687
2018-05-01,2.1227
2018-05-02,-0.3295
2018-05-03,6.7141
2018-05-04,-2.0734
2018-05-07,0.5354
2018-05-08,4.6236
2018-05-09,2.0361
2018-05-10,-0.2041
2018-05-11,0.818
2018-05-14,-0.4057
2018-05-15,2.874
2018-05-16,-0.5059
2018-05-17,-0.7296
2018-05-18,-0.2673
2018-05-21,-4.0197
2018-05-22,0.1629
2018-05-23,5.5052
2018-05-24,3.0383
2018-05-25,-0.9188
2018-05-29,4.4425
2018-05-30,3.2211
2018-05-31,-0.3601
2018-06-01,0.6224
2018-06-04,7.0431
2018-06-05,1.7521
2018-06-06,5.0742
2018-06-07,-2.3884
2018-06-08,3.447
2018-06-11,2.797
2018-06-12,3.8294
2018-06-13,3.1543
2018-06-14,-0.3764
2018-06-15,0.6611
2018-06-18,-0.0782
2018-06-19,-0.0469
2018-06-20,-2.2076000000000002
2018-06-21,-7.797
2018-06-22,-0.0695
2018-06-25,-4.4309
2018-06-26,2.6727
2018-06-27,-8.323
2018-06-28,2.4532
2018-06-29,-0.1697
2018-07-02,-1.152
2018-07-03,-0.7069
2018-07-05,5.0991
2018-07-06,0.6042
2018-07-09,0.7279
2018-07-10,-5.3839
2018-07-11,-0.7447
2018-07-12,6.5217
2018-07-13,-0.0722
2018-07-16,-0.5061
2018-07-17,-1.7439
2018-07-18,-1.9226999999999999
2018-07-19,-1.3007
2018-07-20,-0.2865
2018-07-23,6.3589
2018-07-24,-3.1334
2018-07-25,1.6732
2018-07-26,1.4994
2018-07-27,-1.2429999999999999
2018-07-30,-5.6731
2018-07-31,4.2352
2018-08-01,3.4323
2018-08-02,5.6682
2018-08-03,-3.2253
2018-08-06,5.2447
2018-08-07,-0.1833
2018-08-08,2.4378
2018-08-09,-1.467
2018-08-10,-3.7221
2018-08-13,-3.5395
2018-08-14,3.046
2018-08-15,-2.9386
2018-08-16,2.7427
2018-08-17,1.7161
2018-08-20,4.3286
2018-08-21,2.0908
2018-08-22,-1.056
2018-08-23,3.3312
2018-08-24,2.5665
2018-08-27,-0.0153
2018-08-28,1.175
2018-08-29,2.368
2018-08-30,-4.2287
2018-08-31,-3.9385
2018-09-04,3.8597
2018-09-05,-2.6985
2018-09-06,-8.3201
2018-09-07,-1.573
2018-09-10,-5.2863
2018-09-11,0.0556
2018-09-12,5.9674
2018-09-13,-3.1654
2018-09-14,-2.8535
2018-09-17,-2.9931
