ticker,SHOM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-11,0.0
2000-04-13,0.0
2000-05-17,0.0
2000-06-08,0.0
2000-06-16,50.0
2000-09-18,0.0
2000-09-21,0.0
2000-09-22,0.0
2000-10-09,0.0
2000-10-17,0.0
2000-11-21,0.0
2000-12-18,-33.3333
2000-12-19,0.0
2001-03-27,0.0
2001-03-29,0.0
2001-10-18,0.0
2001-11-08,0.0
2001-11-20,0.0
2001-12-05,0.0
2001-12-11,-50.0
2002-01-07,0.0
2002-01-10,300.0
2002-05-23,-75.0
2002-07-02,0.0
2002-07-19,0.0
2002-08-13,0.0
2002-08-26,0.0
2002-10-04,0.0
2002-10-18,-97.5
2002-12-20,0.0
2003-03-06,0.0
2003-07-28,700.0
2003-10-21,-87.5
2003-11-21,4700.0
2003-12-10,233.3333
2004-04-16,-75.0
2004-05-21,0.0
2004-05-27,0.0
2004-06-02,0.0
2004-06-14,0.0
2004-07-19,1900.0
2004-07-22,-30.0
2004-09-17,-92.8571
2004-11-15,0.0
2005-02-01,0.0
2005-08-08,0.0
2005-09-20,0.0
2005-09-30,0.0
2006-04-12,1900.0
2006-04-21,-95.0
2006-05-23,0.0
2006-10-20,300.0
2006-11-02,643.75
2006-11-28,-91.4286
2006-12-04,0.0
2006-12-15,-31.3725
2006-12-20,-11.4286
2006-12-29,-3.2258
2007-01-03,-60.0
2007-01-08,158.3333
2007-01-09,-59.6774
2007-01-11,60.0
2007-01-12,15.0
2007-01-16,8.6957
2007-01-19,-20.0
2007-01-22,0.0
2007-01-23,-25.0
2007-01-25,-13.3333
2007-01-26,69.2308
2007-01-30,-36.3636
2007-02-02,42.8571
2007-02-05,25.0
2007-02-06,-20.0
2007-02-08,0.0
2007-02-09,15.0
2007-02-12,-17.3913
2007-02-13,5.2632
2007-02-14,-25.0
2007-02-15,13.0
2007-02-16,-11.5044
2007-02-20,-6.6667
2007-02-21,-21.4286
2007-02-22,-9.0909
2007-02-23,0.0
2007-02-26,-10.0
2007-02-27,-11.1111
2007-02-28,61.875
2007-03-01,-7.3359
2007-03-02,8.3333
2007-03-05,7.6923
2007-03-06,-7.1429
2007-03-07,-7.6923
2007-03-08,0.0
2007-03-09,0.0
2007-03-12,-25.0
2007-03-14,11.1111
2007-03-15,-10.0
2007-03-16,-11.1111
2007-03-19,12.5
2007-03-20,0.0
2007-03-21,0.0
2007-03-22,-20.0
2007-03-23,25.0
2007-03-26,-20.0
2007-03-27,4.1667
2007-03-28,-4.0
