ticker,EDMCQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.4228
2000-01-04,0.9123
2000-01-05,-0.904
2000-01-06,-0.4211
2000-01-07,-0.4228
2000-01-10,-0.92
2000-01-11,-5.3571
2000-01-12,3.1698
2000-01-13,-4.4623
2000-01-14,-4.8239
2000-01-18,-1.4481
2000-01-19,-10.2041
2000-01-20,8.0
2000-01-21,-2.7778
2000-01-24,-3.1169000000000002
2000-01-25,1.6979
2000-01-26,-2.1968
2000-01-27,3.3243
2000-01-28,-1.6522000000000001
2000-01-31,7.2501999999999995
2000-02-01,5.1113
2000-02-02,6.902
2000-02-03,2.2744
2000-02-04,0.8608
2000-02-07,-0.8535
2000-02-08,-1.7934
2000-02-09,-2.2644
2000-02-10,1.3453
2000-02-11,-0.4425
2000-02-14,0.4444
2000-02-15,0.0
2000-02-16,-1.8437000000000001
2000-02-17,-5.1089
2000-02-18,-1.9002
2000-02-22,-0.6457
2000-02-23,-0.4874
2000-02-24,0.0
2000-02-25,0.4898
2000-02-28,0.5686
2000-02-29,5.0081
2000-03-01,0.0
2000-03-02,4.8462
2000-03-03,2.7146
2000-03-06,-2.6429
2000-03-07,3.1548
2000-03-08,1.3514
2000-03-09,-1.7544
2000-03-10,0.4286
2000-03-13,-0.4267
2000-03-14,-0.4286
2000-03-15,0.0
2000-03-16,0.0
2000-03-17,-1.363
2000-03-20,1.8182
2000-03-21,1.7856999999999998
2000-03-22,0.4211
2000-03-23,-1.7469999999999999
2000-03-24,-0.4267
2000-03-27,-0.4286
2000-03-28,1.7934
2000-03-29,1.6209
2000-03-30,1.4563
2000-03-31,-1.2987
2000-04-03,7.3407
2000-04-04,-2.9032
2000-04-05,7.1761
2000-04-06,11.9653
2000-04-07,-0.0554
2000-04-10,-3.7119
2000-04-11,-2.8769
2000-04-12,-6.6943
2000-04-13,9.5238
2000-04-14,-2.8986
2000-04-17,7.4627
2000-04-18,-5.5556
2000-04-19,-1.4706000000000001
2000-04-20,-2.9851
2000-04-24,3.8769
2000-04-25,-1.1256
2000-04-26,1.3182
2000-04-27,-1.6558000000000002
2000-04-28,-1.5032999999999999
2000-05-01,1.5263
2000-05-02,3.3674
2000-05-03,-2.5596
2000-05-04,2.2687
2000-05-05,-0.7589
2000-05-08,-1.8235000000000001
2000-05-09,-1.8574000000000002
2000-05-10,2.6252
2000-05-11,-4.0452
2000-05-12,-1.1779
2000-05-15,-2.3839
2000-05-16,2.4422
2000-05-17,0.3764
2000-05-18,-0.375
