ticker,TOUR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-09,11.8889
2014-05-12,10.2284
2014-05-13,-3.1532
2014-05-14,-2.0465
2014-05-15,-1.3295
2014-05-16,-2.0212
2014-05-19,-0.1473
2014-05-20,2.8037
2014-05-21,1.3397000000000001
2014-05-22,7.932
2014-05-23,35.608
2014-05-27,14.2581
2014-05-28,-5.4771
2014-05-29,-5.0179
2014-05-30,3.0818
2014-06-02,4.881
2014-06-03,-7.7952
2014-06-04,1.2618
2014-06-05,-1.4953
2014-06-06,3.0993
2014-06-09,10.2454
2014-06-10,3.8954
2014-06-11,-0.5892
2014-06-12,-7.2198
2014-06-13,-2.3229
2014-06-16,0.0595
2014-06-17,0.6536
2014-06-18,-0.4723
2014-06-19,-1.3642
2014-06-20,-9.7715
2014-06-23,-2.5658
2014-06-24,5.814
2014-06-25,8.0155
2014-06-26,4.249
2014-06-27,-3.2147
2014-06-30,4.567
2014-07-01,5.7289
2014-07-02,-11.3734
2014-07-03,9.8668
2014-07-07,-4.1873
2014-07-08,-1.7250999999999999
2014-07-09,3.1012
2014-07-10,-2.2701000000000002
2014-07-11,1.1034
2014-07-14,8.0414
2014-07-15,-3.2961
2014-07-16,-1.3194
2014-07-17,-5.3482
2014-07-18,-0.412
2014-07-21,8.3333
2014-07-22,0.7092
2014-07-23,-3.1961
2014-07-24,2.2943
2014-07-25,2.3523
2014-07-28,6.6274999999999995
2014-07-29,3.3584
2014-07-30,2.5703
2014-07-31,-2.5059
2014-08-01,0.582
2014-08-04,9.9325
2014-08-05,-2.6754
2014-08-06,1.8477000000000001
2014-08-07,5.8407
2014-08-08,0.3344
2014-08-11,-3.5833
2014-08-12,-4.5808
2014-08-13,-4.2572
2014-08-14,0.0946
2014-08-15,-1.0397
2014-08-18,5.5874
2014-08-19,-1.8996
2014-08-20,1.6598000000000002
2014-08-21,-3.22
2014-08-22,-0.2343
2014-08-25,-0.7046
2014-08-26,-4.4465
2014-08-27,-2.2277
2014-08-28,-6.0759
2014-08-29,-0.2695
2014-09-02,5.5676
2014-09-03,-0.9217
2014-09-04,3.6693
2014-09-05,-1.2961
2014-09-08,-0.1515
2014-09-09,-1.6186
2014-09-10,-4.5758
2014-09-11,-3.125
2014-09-12,0.0
2014-09-15,-3.5595
2014-09-16,-1.6148
2014-09-17,1.9343
2014-09-18,4.3703
2014-09-19,1.9284
2014-09-22,-5.2432
2014-09-23,2.7952
2014-09-24,3.1077
2014-09-25,-3.0678
