ticker,EESI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-14,-5.0
2011-09-16,-35.6842
2011-09-20,-22.3077
2011-09-22,0.0
2011-10-06,0.0
2011-10-11,13.8614
2011-10-12,0.0
2011-10-18,-8.6957
2011-11-10,0.0
2011-11-15,0.0
2011-11-23,-3.8095
2012-02-03,-49.505
2012-02-28,98.0392
2012-02-29,38.6139
2012-04-19,7.1429
2012-04-20,100.0
2012-09-28,-50.0
2012-10-01,-22.9542
2012-10-03,-54.5725
2012-10-05,-2.8571
2012-10-15,0.0
2012-10-23,0.0
2012-11-06,-3.6275
2012-12-21,22.0753
2013-01-28,0.0
2013-03-06,150.0
2013-03-13,-53.3333
2013-08-15,7.1429
2013-08-21,-6.6667
2013-09-12,-11.4286
2013-10-31,1.6129
2013-12-04,-19.0476
2014-06-05,0.0
2014-06-11,-11.7647
2014-12-17,-22.2222
2014-12-23,-28.5714
2014-12-29,0.0
2015-01-13,0.0
2015-04-07,0.0
2016-02-23,0.0
2016-05-18,-20.0
2016-08-30,115.5
2016-08-31,-30.3944
2016-09-23,0.0
2016-12-01,-16.6667
2016-12-29,20.0
2017-07-10,66.6667
2017-10-11,-90.0
2017-10-12,166.0
2017-10-13,-42.1053
2017-12-01,29.7403
2017-12-05,50.1502
2018-03-12,0.0
2018-07-12,66.6667
2018-08-09,160.0
2018-08-10,53.8462
2018-08-21,-79.0
2018-09-11,90.4762
2018-09-19,-47.5
2019-06-18,-38.0952
2019-06-21,30.7692
2019-08-06,-29.4118
2019-09-27,-41.6667
2019-09-30,-14.2857
2019-10-25,-6.5
2019-12-31,0.0
2020-02-19,0.0
2020-06-19,6.9519
