ticker,JERT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-07-14,3.0986
2005-07-15,0.2732
2005-07-18,-0.2725
2005-07-19,0.8197
2005-07-20,0.0
2005-07-21,-0.813
2005-07-22,0.0
2005-07-25,-0.0546
2005-07-26,-0.2187
2005-07-27,0.1096
2005-07-28,0.7115
2005-07-29,0.4348
2005-08-01,0.1082
2005-08-02,-0.5405
2005-08-03,-0.2717
2005-08-04,-0.0545
2005-08-05,-2.3991
2005-08-08,0.838
2005-08-09,0.0
2005-08-10,-0.2216
2005-08-11,0.7773
2005-08-12,-0.1102
2005-08-15,0.1655
2005-08-16,0.7159
2005-08-17,-1.1482
2005-08-18,0.9403
2005-08-19,-0.274
2005-08-22,0.0
2005-08-23,0.2747
2005-08-24,0.1096
2005-08-25,-0.3831
2005-08-26,-0.6593
2005-08-29,-0.3319
2005-08-30,0.9989
2005-08-31,-0.7692
2005-09-01,0.2769
2005-09-02,0.9387
2005-09-06,0.7112
2005-09-07,-1.1407
2005-09-08,1.9231
2005-09-09,0.1617
2005-09-12,-0.9688
2005-09-13,0.5435
2005-09-14,0.0
2005-09-15,-0.1622
2005-09-16,-0.6497
2005-09-19,-0.4905
2005-09-20,0.7667
2005-09-21,-0.5978
2005-09-22,0.4374
2005-09-23,2.1775
2005-09-26,-1.4385
2005-09-27,-1.0811
2005-09-28,-0.1093
2005-09-29,-0.3282
2005-09-30,-0.8782
2005-10-03,1.052
2005-10-04,-0.1096
2005-10-05,-0.2194
2005-10-06,-0.8796
2005-10-07,-0.3328
2005-10-10,0.3339
2005-10-11,-0.0555
2005-10-12,-3.6626
2005-10-13,0.2931
2005-10-14,-0.6429
2005-10-17,-0.2941
2005-10-18,-1.4748999999999999
2005-10-19,1.1976
2005-10-20,-0.355
2005-10-21,-0.5344
2005-10-24,1.8507
2005-10-25,-0.4689
2005-10-26,-0.0589
2005-10-27,-1.1196
2005-10-28,1.1919
2005-10-31,0.4122
2005-11-01,-2.2287
2005-11-02,2.2795
2005-11-03,-1.5836000000000001
2005-11-04,0.4172
2005-11-07,0.5935
2005-11-08,-0.59
2005-11-09,-0.2374
2005-11-10,-0.6544
2005-11-11,-1.2575
2005-11-14,-1.3341
2005-11-15,1.4751
2005-11-16,-0.7874
2005-11-17,0.0611
2005-11-18,-0.183
2005-11-21,-1.1614
2005-11-22,0.4947
2005-11-23,-0.5538
2005-11-25,0.0
2005-11-28,-1.2376
2005-11-29,0.5639
2005-11-30,-0.3115
2005-12-01,3.0625
