ticker,MDWT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-04,0.0
2015-09-10,25.0
2015-11-24,-20.0
2016-03-15,-93.75
2016-04-26,-20.0
2016-04-29,400.0
2016-05-05,-77.0
2016-05-10,73.913
2016-05-18,37.5
2016-06-07,-58.1818
2016-06-09,139.1304
2016-07-06,-58.1818
2016-07-14,42.1739
2016-07-15,-23.5474
2016-07-19,40.0
2016-07-20,0.0
2016-07-22,-5.6786
2016-07-26,6.0204
2016-08-16,-14.2857
2016-09-13,0.0
2016-09-19,0.0
2016-09-20,3.3333
2016-09-29,-12.9032
2016-09-30,29.6296
2016-10-21,-14.2857
2016-11-15,50.0
2016-12-02,-22.2222
2016-12-05,42.8571
2016-12-15,-40.0
2016-12-16,-16.6667
2017-01-05,0.0
2017-01-26,0.0
2017-02-02,0.0
2017-02-10,0.0
2017-02-21,20.0
2017-02-24,-33.3333
2017-02-27,25.0
2017-03-08,-20.0
2017-03-10,75.0
2017-04-04,11.4286
2017-04-06,-44.8718
2017-04-11,-6.4244
2017-04-13,24.2622
2017-04-17,-60.0
2017-04-18,0.0
2017-04-20,0.0
2017-04-24,0.0
2017-04-26,90.0
2017-04-27,-21.0526
2017-05-02,0.0
2017-05-03,13.3333
2017-05-04,0.0
2017-05-10,-4.1176
2017-05-11,-38.6503
2017-05-17,0.0
2017-05-19,50.0
2017-05-23,115.3333
2017-05-24,-53.5604
2017-06-06,0.0
2017-06-07,50.0
2017-06-13,-64.4444
2017-06-14,38.7875
2017-06-15,-9.9343
2017-06-16,-1.85
2017-06-19,1.8849
2017-07-05,-18.5
2017-07-11,0.0
2017-07-17,34.9693
2017-07-20,-27.2727
2017-07-24,0.0
2017-07-25,25.0
2017-07-27,0.0
2017-08-01,-39.0
2017-08-07,0.0
2017-08-11,63.9344
2017-08-14,-35.0
2017-08-18,38.4615
2017-08-22,-24.4444
2017-08-25,-4.4118
2017-09-06,53.8462
2017-09-15,43.0
2017-09-21,-30.0699
2017-09-29,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-10,-34.4
2017-10-12,-5.6402
2017-10-16,0.0
2017-10-18,0.0
2017-10-30,0.0
2017-11-02,0.0
2017-11-03,0.0
2017-11-09,0.0
2017-11-21,29.2407
2017-12-08,-22.625
2017-12-12,29.2407
2017-12-20,-22.5
2017-12-21,0.0
2017-12-22,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-17,0.0
2018-01-19,200.3226
2018-01-22,0.0
