ticker,WMC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-10,-6.15
2012-05-11,0.4262
2012-05-14,-0.5305
2012-05-15,-0.16
2012-05-16,0.0
2012-05-17,-0.9081
2012-05-18,0.6469
2012-05-21,-0.6427
2012-05-22,-0.8086
2012-05-23,2.6087
2012-05-24,-0.1059
2012-05-25,1.8028
2012-05-29,-1.0417
2012-05-30,-0.4211
2012-05-31,-0.6342
2012-06-01,-1.4894
2012-06-04,2.2138
2012-06-05,-1.4791
2012-06-06,1.7694
2012-06-07,0.2107
2012-06-08,0.4206
2012-06-11,-0.7853
2012-06-12,0.4749
2012-06-13,-0.5777
2012-06-14,0.317
2012-06-15,0.5793
2012-06-18,-0.3665
2012-06-19,0.6831
2012-06-20,0.2088
2012-06-21,-0.9375
2012-06-22,0.4732
2012-06-25,0.1047
2012-06-26,0.2614
2012-06-27,0.2086
2012-06-28,0.1041
2012-06-29,1.2993999999999999
2012-07-02,0.1026
2012-07-03,1.794
2012-07-05,0.3525
2012-07-06,-0.1004
2012-07-09,-0.1005
2012-07-10,-0.4525
2012-07-11,-1.0606
2012-07-12,-0.4594
2012-07-13,2.0
2012-07-16,0.2514
2012-07-17,-0.5517
2012-07-18,0.706
2012-07-19,-1.0516
2012-07-20,1.0121
2012-07-23,-0.6012
2012-07-24,-1.1089
2012-07-25,0.3058
2012-07-26,0.2541
2012-07-27,1.4698
2012-07-30,0.5994
2012-07-31,1.3902999999999999
2012-08-01,-0.049
2012-08-02,0.147
2012-08-03,1.5952
2012-08-06,-1.2267000000000001
2012-08-07,-0.6458
2012-08-08,2.05
2012-08-09,-0.392
2012-08-10,-1.7216
2012-08-13,1.1512
2012-08-14,1.9297
2012-08-15,0.9709
2012-08-16,0.0
2012-08-17,-0.1923
2012-08-20,1.4451
2012-08-21,-1.1871
2012-08-22,0.6247
2012-08-23,-0.8118
2012-08-24,0.7222
2012-08-27,0.7648
2012-08-28,0.3321
2012-08-29,0.331
2012-08-30,2.2149
2012-08-31,-1.1526
2012-09-04,0.0933
2012-09-05,-1.2116
2012-09-06,0.6132
2012-09-07,0.0938
2012-09-10,0.0
2012-09-11,0.7963
2012-09-12,0.1859
2012-09-13,-0.7885
2012-09-14,2.7115
2012-09-17,0.3186
2012-09-18,-2.0871
2012-09-19,2.1316
2012-09-20,1.1797
2012-09-21,8.0717
2012-09-24,1.4523
2012-09-25,-1.5951
2012-09-26,-0.665
2012-09-27,-0.2092
2012-09-28,-3.4783
2012-10-01,0.4505
