ticker,MATW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-5.0
2000-01-05,6.2201
2000-01-06,-3.3784
2000-01-07,-3.0303
2000-01-10,-3.8462
2000-01-11,5.5
2000-01-12,1.4218
2000-01-13,0.4673
2000-01-14,-4.186
2000-01-18,2.4272
2000-01-19,-3.7915
2000-01-20,-3.9409
2000-01-21,-1.5385
2000-01-24,3.6458
2000-01-25,-2.5126
2000-01-26,-0.3196
2000-01-27,-3.6269
2000-01-28,1.0753
2000-01-31,-1.0638
2000-02-01,-3.2258
2000-02-02,-2.2222
2000-02-03,-3.4091
2000-02-04,1.1764999999999999
2000-02-07,-1.1628
2000-02-08,-1.1764999999999999
2000-02-09,1.1905000000000001
2000-02-10,9.4118
2000-02-11,-2.1505
2000-02-14,-11.538499999999999
2000-02-15,6.2112
2000-02-16,0.5848
2000-02-17,2.3256
2000-02-18,-1.1364
2000-02-22,-1.7241
2000-02-23,0.0
2000-02-24,-0.2924
2000-02-25,2.6393
2000-02-28,1.7143000000000002
2000-02-29,8.7079
2000-03-01,-6.9767
2000-03-02,0.0
2000-03-03,0.5556
2000-03-06,-0.5525
2000-03-07,-0.5556
2000-03-08,-0.5587
2000-03-09,1.6854
2000-03-10,7.1823
2000-03-13,-7.4742
2000-03-14,2.507
2000-03-15,-0.8152
2000-03-16,1.9178
2000-03-17,-2.4194
2000-03-20,-0.2755
2000-03-21,-0.2762
2000-03-22,1.385
2000-03-23,-1.0929
2000-03-24,0.0
2000-03-27,-0.5525
2000-03-28,-0.5556
2000-03-29,0.0
2000-03-30,-1.6760000000000002
2000-03-31,2.8409
2000-04-03,-2.7624
2000-04-04,-1.1364
2000-04-05,-3.4483
2000-04-06,7.1429
2000-04-07,0.2778
2000-04-10,-2.7701000000000002
2000-04-11,2.849
2000-04-12,-1.108
2000-04-13,1.1204
2000-04-14,-6.3712
2000-04-17,5.3254
2000-04-18,-1.1236
2000-04-19,0.0
2000-04-20,0.0
2000-04-24,-4.5455
2000-04-25,-0.5952
2000-04-26,3.8204000000000002
2000-04-27,-2.6012
2000-04-28,9.1988
2000-05-01,2.1739
2000-05-02,0.266
2000-05-03,0.2653
2000-05-04,0.5291
2000-05-05,1.5789
2000-05-08,-2.5907
2000-05-09,-2.1277
2000-05-10,-1.087
2000-05-11,-0.5495
2000-05-12,6.6298
2000-05-15,2.0725
2000-05-16,0.5076
2000-05-17,-3.5354
2000-05-18,0.5236
2000-05-19,1.0417
