ticker,MEDP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-08-11,20.8261
2016-08-12,0.8996
2016-08-15,4.2083
2016-08-16,0.3422
2016-08-17,-4.0246
2016-08-18,-1.3149
2016-08-19,2.7368
2016-08-22,2.5587
2016-08-23,-0.2392
2016-08-24,-3.8026999999999997
2016-08-25,-1.3889
2016-08-26,-2.0224
2016-08-29,3.944
2016-08-30,-1.2057
2016-08-31,1.3999
2016-09-01,3.5221
2016-09-02,4.9752
2016-09-06,-0.7166
2016-09-07,-3.5433
2016-09-08,2.2109
2016-09-09,-1.6639
2016-09-12,0.6768
2016-09-13,0.2353
2016-09-14,1.0731
2016-09-15,-0.4313
2016-09-16,1.4662
2016-09-19,0.3941
2016-09-20,-0.4253
2016-09-21,-1.3469
2016-09-22,-0.2664
2016-09-23,-1.3356
2016-09-26,-1.7597
2016-09-27,0.999
2016-09-28,0.4093
2016-09-29,-1.5965
2016-09-30,3.0721
2016-10-03,2.2438
2016-10-04,-1.8343
2016-10-05,0.4671
2016-10-06,-2.3912
2016-10-07,2.7901
2016-10-10,0.1324
2016-10-11,-1.9504000000000001
2016-10-12,-1.0789
2016-10-13,1.1929
2016-10-14,-1.6503999999999999
2016-10-17,1.0274
2016-10-18,4.0678
2016-10-19,0.2606
2016-10-20,0.4224
2016-10-21,1.2617
2016-10-24,-0.6709
2016-10-25,-2.2194
2016-10-26,-2.4013
2016-10-27,-3.1345
2016-10-28,0.5219
2016-10-31,0.45
2016-11-01,0.2412
2016-11-02,2.5438
2016-11-03,-2.5478
2016-11-04,6.5359
2016-11-07,2.4217
2016-11-08,1.6709
2016-11-09,4.4651
2016-11-10,2.2559
2016-11-11,-0.2903
2016-11-14,0.9898
2016-11-15,3.8051
2016-11-16,-0.361
2016-11-17,-0.0557
2016-11-18,0.3625
2016-11-21,-0.1389
2016-11-22,0.5287
2016-11-23,2.1312
2016-11-25,1.5175999999999998
2016-11-28,-2.4826
2016-11-29,0.6844
2016-11-30,-2.9908
2016-12-01,-1.3173
2016-12-02,5.0554
2016-12-05,1.2706
2016-12-06,1.0945
2016-12-07,-1.6636
2016-12-08,-1.8528
2016-12-09,-1.5048
2016-12-12,-4.0833
2016-12-13,-1.4769999999999999
2016-12-14,-0.97
2016-12-15,0.0594
2016-12-16,2.0469
2016-12-19,1.7151
2016-12-20,2.5722
2016-12-21,0.3065
2016-12-22,-0.6111
2016-12-23,0.2795
2016-12-27,0.223
2016-12-28,-0.4449
2016-12-29,-0.0838
