ticker,WMS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-25,0.9375
2014-07-28,-0.9288
2014-07-29,0.0625
2014-07-30,-0.5621
2014-07-31,-2.3869
2014-08-01,-3.2175
2014-08-04,-0.266
2014-08-05,-0.8
2014-08-06,1.4113
2014-08-07,-0.729
2014-08-08,5.4072
2014-08-11,-3.1666
2014-08-12,2.9431000000000003
2014-08-13,1.2706
2014-08-14,0.2509
2014-08-15,-0.7509
2014-08-18,-0.0631
2014-08-19,3.9116999999999997
2014-08-20,4.2501999999999995
2014-08-21,1.0483
2014-08-22,-1.0951
2014-08-25,4.3124
2014-08-26,0.3352
2014-08-27,4.6771
2014-08-28,0.7979
2014-08-29,0.1055
2014-09-02,0.2109
2014-09-03,0.6839
2014-09-04,0.0
2014-09-05,-1.3584
2014-09-08,-4.8199
2014-09-09,5.5092
2014-09-10,6.5401
2014-09-11,-0.4455
2014-09-12,1.3426
2014-09-15,-2.0608
2014-09-16,2.2545
2014-09-17,-1.6659000000000002
2014-09-18,6.8261
2014-09-19,-8.8153
2014-09-22,2.046
2014-09-23,0.3509
2014-09-24,-0.5994
2014-09-25,1.5577999999999999
2014-09-26,7.6695
2014-09-29,-2.4356999999999998
2014-09-30,-1.3189
2014-10-01,-0.2387
2014-10-02,-0.8134
2014-10-03,0.2412
2014-10-06,-2.0693
2014-10-07,-1.6216
2014-10-08,0.5495
2014-10-09,-1.6393
2014-10-10,-0.0505
2014-10-13,1.5664
2014-10-14,0.0995
2014-10-15,0.8946
2014-10-16,5.5665
2014-10-17,-1.7266
2014-10-20,0.8072
2014-10-21,2.1196
2014-10-22,-2.6292
2014-10-23,4.6423
2014-10-24,-5.206
2014-10-27,-5.0143
2014-10-28,4.8768
2014-10-29,1.0547
2014-10-30,0.2372
2014-10-31,3.3602
2014-11-03,0.641
2014-11-04,-4.6861
2014-11-05,3.1504
2014-11-06,7.404
2014-11-07,-4.1792
2014-11-10,-0.0899
2014-11-11,5.1305
2014-11-12,1.5411000000000001
2014-11-13,-2.2344
2014-11-14,0.1294
2014-11-17,-3.3592
2014-11-18,4.2335
2014-11-19,-1.1116
2014-11-20,-1.6429
2014-11-21,1.978
2014-11-24,0.0431
2014-11-25,-1.6803
2014-11-26,2.0158
2014-11-28,1.1618
2014-12-01,-1.2761
2014-12-02,-7.4106
2014-12-03,0.7911
2014-12-04,-1.8929
2014-12-05,1.5529
2014-12-08,0.9268
2014-12-09,-0.7346
2014-12-10,0.0925
2014-12-11,1.3401
