ticker,USRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-31,0.0
2000-02-02,1071.875
2000-02-03,13.3333
2000-02-07,-11.7647
2000-02-08,0.0
2000-02-16,0.0
2000-02-17,0.0
2000-03-03,-91.4667
2000-03-23,1071.875
2000-04-27,-91.4667
2000-04-28,0.0
2000-06-26,-75.0
2001-12-26,-90.0
2002-05-13,0.0
2002-10-04,1900.0
2002-12-16,0.0
2003-02-04,0.0
2003-05-15,-50.0
2003-06-17,0.0
2003-06-26,0.0
2003-07-29,0.0
2004-02-02,0.0
2004-06-01,0.0
2005-02-15,0.0
2005-02-23,0.0
2005-05-25,0.0
2006-05-03,0.0
2006-06-01,0.0
2006-07-20,7500.0
2006-09-28,-98.6842
2006-10-19,0.0
2006-12-12,0.0
2007-06-15,9900.0
2007-08-08,-99.0
2007-08-16,900.0
2007-09-07,910.0
2007-09-10,0.0
2007-09-12,-90.099
2008-05-06,1000.0
2008-06-03,0.0
2008-06-04,-18.1818
2008-06-06,-11.1111
2008-07-07,-18.75
2008-09-18,0.0
2008-10-16,53.8462
2008-11-17,-90.0
2009-01-26,0.0
2009-06-17,910.0
2009-06-22,0.0
2009-06-26,-25.7426
2009-06-29,0.0
2009-07-31,0.0
2009-09-15,0.0
2009-09-25,0.0
2009-11-24,0.0
2009-12-10,-26.6667
2010-04-08,18.1818
2010-05-27,-46.1538
2010-08-13,0.0
2010-09-15,0.0
2010-12-01,0.0
2011-03-02,0.0
2011-05-13,57.1429
2011-06-01,-36.3636
2011-08-17,0.0
2011-10-14,-28.5714
2011-10-24,0.0
2011-12-28,-60.0
2012-03-15,0.0
2012-11-15,750.0
2012-11-16,11.7647
2012-11-19,4.2105
2012-11-23,-10.101
2012-11-26,13.4831
2012-11-27,3.9604
2012-11-28,3.8095
2012-11-29,0.9174
2012-11-30,18.1818
2012-12-03,2.3077
2012-12-04,-2.2556
2012-12-05,3.8462
2012-12-07,3.7037
2012-12-10,-11.4286
2012-12-11,4.8387
2012-12-12,7.6923
2012-12-14,6.4286
2012-12-17,0.0
2012-12-18,3.3557
2012-12-19,5.1948
2012-12-20,-1.2346
2012-12-21,0.0
2012-12-27,-6.25
2012-12-28,9.3333
2012-12-31,0.0
2013-01-02,-5.4878
2013-01-03,-12.9032
2013-01-04,3.7037
2013-01-08,-3.5714
2013-01-09,3.7037
2013-01-10,28.5714
2013-01-11,-5.5556
2013-01-14,5.8824
2013-01-15,1.1111
2013-01-16,-3.8462
2013-01-17,-8.5714
