ticker,ACET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-01-26,12.5333
2018-01-29,-3.8507
2018-01-30,-3.0191
2018-01-31,3.0496
2018-02-01,3.2676
2018-02-02,1.7313
2018-02-05,-0.5869
2018-02-06,-5.0767
2018-02-07,0.8706
2018-02-08,1.7263
2018-02-09,3.0303
2018-02-12,6.4706
2018-02-13,0.8287
2018-02-14,-0.8767
2018-02-15,0.7186
2018-02-16,2.9638
2018-02-20,3.9446
2018-02-21,0.9744
2018-02-22,-0.2031
2018-02-23,6.1068999999999996
2018-02-26,-1.199
2018-02-27,-4.1262
2018-02-28,-1.2658
2018-03-01,-5.7949
2018-03-02,-3.4839
2018-03-05,-0.564
2018-03-06,-2.439
2018-03-07,-1.1047
2018-03-08,-4.8795
2018-03-09,-1.7305000000000001
2018-03-12,0.0
2018-03-13,-2.8302
2018-03-14,-2.3948
2018-03-15,-1.061
2018-03-16,0.2011
2018-03-19,0.8027
2018-03-20,-1.2608
2018-03-21,-1.2097
2018-03-22,-10.3401
2018-03-23,-10.6222
2018-03-26,-7.0458
2018-03-27,2.6484
2018-03-28,-6.0498
2018-03-29,-9.2803
2018-04-02,-10.5428
2018-04-03,3.2672
2018-04-04,-0.678
2018-04-05,8.8737
2018-04-06,-11.2853
2018-04-09,-5.4181
2018-04-10,16.812
2018-04-11,1.2793
2018-04-12,-3.3684
2018-04-13,-2.2876
2018-04-16,-4.3478
2018-04-17,-1.9814
2018-04-18,8.0856
2018-04-19,-3.3003
2018-04-20,-0.2275
2018-04-23,1.7104
2018-04-24,-4.3722
2018-04-25,0.4689
2018-04-26,0.7001
2018-04-27,3.0127
2018-04-30,1.2373
2018-05-01,7.3333
2018-05-02,5.383
2018-05-03,-4.224
2018-05-04,-1.641
2018-05-07,1.3556
2018-05-08,-0.7202
2018-05-09,12.4352
2018-05-10,3.5023
2018-05-11,6.5004
2018-05-14,-4.9331
2018-05-15,0.2639
2018-05-16,-11.0965
2018-05-17,-9.4228
2018-05-18,0.6536
2018-05-21,-4.8701
2018-05-22,-0.4551
2018-05-23,4.3429
2018-05-24,-1.0953
2018-05-25,1.2182
2018-05-29,5.0328
2018-05-30,1.9792
2018-05-31,0.0
2018-06-01,1.2257
2018-06-04,-1.11
2018-06-05,1.1224
2018-06-06,-0.5045
2018-06-07,-1.927
2018-06-08,1.3444
2018-06-11,3.4694
2018-06-12,0.5917
2018-06-13,3.3333
2018-06-14,3.0361
2018-06-15,10.221
2018-06-18,-6.1821
