ticker,CHUY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-24,15.8462
2012-07-25,5.0465
2012-07-26,5.6258
2012-07-27,2.4536
2012-07-30,3.0958
2012-07-31,0.2266
2012-08-01,-0.9045
2012-08-02,2.2248
2012-08-03,2.1205
2012-08-06,1.9672
2012-08-07,2.358
2012-08-08,-0.4188
2012-08-09,2.3134
2012-08-10,1.1819
2012-08-13,-4.063
2012-08-14,-1.1646
2012-08-15,-5.6776
2012-08-16,-0.2839
2012-08-17,-0.1708
2012-08-20,-2.2818
2012-08-21,1.6346
2012-08-22,-0.6318
2012-08-23,3.9884
2012-08-24,-0.1112
2012-08-27,2.9494
2012-08-28,0.5946
2012-08-29,3.439
2012-08-30,6.6494
2012-08-31,0.4384
2012-09-04,2.0854
2012-09-05,3.3254
2012-09-06,6.069
2012-09-07,3.251
2012-09-10,-3.9882
2012-09-11,3.5418
2012-09-12,-0.8868
2012-09-13,0.8095
2012-09-14,0.1268
2012-09-17,-5.0232
2012-09-18,1.4667
2012-09-19,0.7446
2012-09-20,-1.0435
2012-09-21,-0.1318
2012-09-24,-0.5719
2012-09-25,0.3982
2012-09-26,3.4817
2012-09-27,3.6201
2012-09-28,0.7809
2012-10-01,11.1338
2012-10-02,3.7064
2012-10-03,-1.4154
2012-10-04,0.5025
2012-10-05,-1.4643
2012-10-08,-3.7332
2012-10-09,-6.5512
2012-10-10,-0.3626
2012-10-11,0.1617
2012-10-12,-3.3912
2012-10-15,-0.4597
2012-10-16,0.5038
2012-10-17,0.543
2012-10-18,0.7894
2012-10-19,-3.5449
2012-10-22,-1.9231
2012-10-23,3.1373
2012-10-24,-2.7038
2012-10-25,0.3474
2012-10-26,0.3029
2012-10-31,5.3926
2012-11-01,4.0115
2012-11-02,-1.0232
2012-11-05,0.0398
2012-11-06,-3.8552999999999997
2012-11-07,-6.2836
2012-11-08,-5.2933
2012-11-09,-0.1397
2012-11-12,-1.6324999999999998
2012-11-13,0.9957
2012-11-14,-1.2676
2012-11-15,-2.4727
2012-11-16,7.411
2012-11-19,-0.9532
2012-11-20,2.0623
2012-11-21,4.5802
2012-11-23,-0.3006
2012-11-26,-1.292
2012-11-27,0.2618
2012-11-28,7.2237
2012-11-29,-0.6494
2012-11-30,-3.799
2012-12-03,-1.189
2012-12-04,0.1289
2012-12-05,0.2575
2012-12-06,1.0274
2012-12-07,0.9322
2012-12-10,0.1679
2012-12-11,-0.461
2012-12-12,2.4
2012-12-13,-2.3438
2012-12-14,0.5474
