ticker,UBCP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-14.2857
2000-01-04,3.7037
2000-01-05,-1.7856999999999998
2000-01-07,-17.2727
2000-01-10,0.0
2000-01-11,-1.0989
2000-01-12,2.2222
2000-01-13,4.3478
2000-01-18,0.0
2000-01-20,-1.0417
2000-01-24,-1.0526
2000-01-28,1.0638
2000-01-31,4.2105
2000-02-01,-11.1111
2000-02-03,4.5455
2000-02-07,9.7826
2000-02-09,-2.9703
2000-02-11,-4.0816
2000-02-14,5.3191
2000-02-17,-5.0505
2000-02-23,8.5106
2000-02-25,0.0
2000-02-28,-3.9215999999999998
2000-02-29,0.551
2000-03-01,0.5128
2000-03-02,0.0
2000-03-07,-2.0408
2000-03-09,0.0
2000-03-10,-2.0833
2000-03-13,6.383
2000-03-15,3.0
2000-03-16,8.7379
2000-03-17,-2.2321
2000-03-20,-1.3699
2000-03-21,0.0
2000-03-22,-3.7037
2000-03-23,0.0
2000-03-27,0.0
2000-03-28,7.6923
2000-03-30,0.0
2000-04-03,-9.8214
2000-04-05,14.8515
2000-04-06,0.0
2000-04-10,-2.0474
2000-04-11,2.0902
2000-04-17,-5.1724
2000-04-20,1.8182
2000-04-25,0.0
2000-04-26,0.0
2000-04-27,-5.3571
2000-05-01,7.5472
2000-05-02,-7.0175
2000-05-05,0.0
2000-05-08,-9.434
2000-05-09,18.75
2000-05-11,-2.6316
2000-05-12,-11.7117
2000-05-15,6.1224
2000-05-16,-7.6923
2000-05-17,8.3333
2000-05-22,-11.538499999999999
2000-05-24,0.0
2000-05-30,14.1739
2000-06-05,0.0
2000-06-06,-13.461500000000001
2000-06-09,0.0
2000-06-13,-6.6667
2000-06-14,-3.5714
2000-06-15,3.7037
2000-06-16,0.0
2000-06-19,1.1905000000000001
2000-06-20,-4.7059
2000-06-21,-1.2346
2000-06-22,-5.0
2000-06-23,13.1579
2000-06-26,-16.2791
2000-06-27,11.1111
2000-06-28,-3.75
2000-06-30,3.8961
2000-07-03,-6.25
2000-07-05,6.6667
2000-07-10,2.5
2000-07-11,4.878
2000-07-13,-6.3953
2000-07-14,0.0
2000-07-17,-0.6211
2000-07-18,7.5
2000-07-19,-9.3023
2000-07-21,0.0
2000-07-25,-7.6923
2000-07-27,0.0
2000-07-31,0.0
2000-08-02,2.7778
2000-08-03,8.1081
2000-08-08,-7.5
2000-08-09,10.8108
2000-08-11,-9.7561
2000-08-14,0.0
2000-08-16,10.8108
2000-08-17,-2.439
2000-08-21,-1.25
