ticker,CNXN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.3478
2000-01-04,-7.5758
2000-01-05,-3.6885
2000-01-06,0.8511
2000-01-07,2.7426
2000-01-10,3.2854
2000-01-11,-2.9821
2000-01-12,-9.0164
2000-01-13,-4.0541
2000-01-14,5.1643
2000-01-18,6.4732
2000-01-19,-5.0314
2000-01-20,-3.7528
2000-01-21,0.9174
2000-01-24,3.4091
2000-01-25,5.0549
2000-01-26,3.1381
2000-01-27,2.2312
2000-01-28,-1.9841
2000-01-31,-4.4534
2000-02-01,-0.2119
2000-02-02,-0.8493
2000-02-03,1.7130999999999998
2000-02-04,-0.2105
2000-02-07,-2.5316
2000-02-08,0.4329
2000-02-09,-2.3707
2000-02-10,2.4283
2000-02-11,-1.2931
2000-02-14,-4.8035
2000-02-15,1.3761
2000-02-16,-0.905
2000-02-17,0.4566
2000-02-18,0.0
2000-02-22,-9.0909
2000-02-23,-4.0
2000-02-24,-1.0417
2000-02-25,-0.5263
2000-02-28,5.291
2000-02-29,5.7789
2000-03-01,4.038
2000-03-02,-1.8265
2000-03-03,-3.0233
2000-03-06,-2.1583
2000-03-07,-2.451
2000-03-08,-5.5276
2000-03-09,-2.1277
2000-03-10,-3.8043
2000-03-13,-0.2825
2000-03-14,8.2153
2000-03-15,-1.0471
2000-03-16,1.5873
2000-03-17,4.1667
2000-03-20,-0.5
2000-03-21,0.0
2000-03-22,9.0452
2000-03-23,-3.2258
2000-03-24,-3.8095
2000-03-27,-2.4752
2000-03-28,1.5228000000000002
2000-03-29,1.25
2000-03-30,8.1481
2000-03-31,3.1963
2000-04-03,3.0973
2000-04-04,-4.2918
2000-04-05,13.901299999999999
2000-04-06,2.7559
2000-04-07,-3.0651
2000-04-10,-2.9644
2000-04-11,-3.4623
2000-04-12,2.9536
2000-04-13,1.6393
2000-04-14,-7.4597
2000-04-17,1.9607999999999999
2000-04-18,16.2393
2000-04-19,12.8676
2000-04-20,11.4007
2000-04-24,-6.652
2000-04-25,12.9209
2000-04-26,-5.6865
2000-04-27,7.9412
2000-04-28,4.3597
2000-05-01,15.0131
2000-05-02,-14.1884
2000-05-03,0.7937
2000-05-04,-3.1496
2000-05-05,3.523
2000-05-08,6.8063
2000-05-09,4.1667
2000-05-10,-4.2353
2000-05-11,-1.4742
2000-05-12,3.616
2000-05-15,3.9711
2000-05-16,-4.3981
2000-05-17,0.0
2000-05-18,6.5375
2000-05-19,-5.0
2000-05-22,-1.5550000000000002
