ticker,TRWO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-28,-10.0
2006-12-28,-77.7778
2007-01-11,400.0
2007-01-12,0.0
2007-01-16,-46.0
2007-01-17,11.1111
2007-01-18,0.0
2007-01-19,33.3333
2007-01-22,0.0
2007-01-23,-32.5
2007-01-30,48.1481
2007-02-01,0.0
2007-02-02,0.0
2007-02-12,-25.0
2007-02-13,-50.0
2007-02-15,100.0
2007-02-16,0.0
2007-02-21,-50.0
2007-02-22,0.0
2007-02-23,133.3333
2007-02-27,0.0
2007-03-02,0.0
2007-03-07,0.0
2007-03-08,-40.0
2007-03-14,19.0476
2007-03-22,24.0
2007-03-23,29.0323
2007-03-26,-2.5
2007-03-27,-17.9487
2007-03-28,-21.875
2007-03-29,-8.0
2007-03-30,8.6957
2007-04-02,-16.0
2007-04-03,-4.7619
2007-04-09,0.0
2007-04-11,-30.0
2007-04-12,28.5714
2007-04-13,0.0
2007-04-16,-22.2222
2007-04-17,7.1429
2007-04-19,-33.3333
2007-04-23,30.0
2007-04-25,-30.7692
2007-04-26,22.2222
2007-04-27,36.3636
2007-04-30,0.0
2007-05-01,0.0
2007-05-02,6.6667
2007-05-03,0.0
2007-05-04,-3.125
2007-05-07,9.6774
2007-05-08,5.8824
2007-05-09,0.0
2007-05-10,11.1111
2007-05-11,-10.0
2007-05-14,13.8889
2007-05-15,-2.439
2007-05-16,10.0
2007-05-17,0.0
2007-05-18,-9.0909
2007-05-21,10.0
2007-05-22,4.5455
2007-05-23,13.0435
2007-05-24,0.0
2007-05-25,15.3846
2007-05-29,0.0
2007-05-30,0.0
2007-05-31,16.6667
2007-06-01,14.2857
2007-06-04,-7.5
2007-06-05,-43.2432
2007-06-06,0.0
2007-06-07,-4.7619
2007-06-08,-5.0
2007-06-11,15.7895
2007-06-12,0.0
2007-06-13,-13.6364
2007-06-14,0.0
2007-06-15,-10.526299999999999
2007-06-18,17.647100000000002
2007-06-19,0.0
2007-06-20,-15.0
2007-06-21,11.7647
2007-06-22,0.0
2007-06-25,5.2632
2007-06-26,-10.0
2007-06-29,-5.5556
2007-07-02,17.647100000000002
2007-07-03,-15.0
2007-07-05,-23.5294
2007-07-06,-7.6923
2007-07-09,0.0
2007-07-11,-8.3333
2007-07-13,0.0
2007-07-16,9.0909
2007-07-17,-16.6667
2007-07-20,-20.0
2007-07-23,12.5
2007-07-24,-11.1111
2007-07-25,0.0
2007-07-31,-12.5
2007-08-01,0.0
2007-08-02,-28.5714
2007-08-03,-40.0
