ticker,ROK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.1332
2000-01-04,-3.6709
2000-01-05,0.5256
2000-01-06,-1.9607999999999999
2000-01-07,3.0667
2000-01-10,0.0
2000-01-11,-1.9405000000000001
2000-01-12,0.7916
2000-01-13,2.4869
2000-01-14,-1.5326
2000-01-18,5.3178
2000-01-19,2.3399
2000-01-20,-5.6558
2000-01-21,1.2755
2000-01-24,-5.5416
2000-01-25,2.4
2000-01-26,0.5208
2000-01-27,1.0363
2000-01-28,-0.5128
2000-01-31,1.933
2000-02-01,0.0
2000-02-02,-1.8963
2000-02-03,0.0
2000-02-04,-1.6753
2000-02-07,-2.8834
2000-02-08,-0.6748
2000-02-09,-4.212
2000-02-10,3.1319
2000-02-11,-1.7981
2000-02-14,-1.4085
2000-02-15,4.7143
2000-02-16,1.6371
2000-02-17,1.0738
2000-02-18,3.1873
2000-02-22,5.2767
2000-02-23,-3.6675
2000-02-24,-3.2995
2000-02-25,-2.6247
2000-02-28,-2.965
2000-02-29,0.5556
2000-03-01,-0.5525
2000-03-02,1.3889
2000-03-03,2.6027
2000-03-06,-2.6702
2000-03-07,-12.2085
2000-03-08,-2.3438
2000-03-09,0.96
2000-03-10,-0.4754
2000-03-13,-1.9108
2000-03-14,-0.3247
2000-03-15,5.2117
2000-03-16,5.8824
2000-03-17,-5.117
2000-03-20,2.4653
2000-03-21,1.203
2000-03-22,-5.052
2000-03-23,3.2864
2000-03-24,0.4545
2000-03-27,0.0
2000-03-28,-1.5083
2000-03-29,-3.8285
2000-03-30,1.4331
2000-03-31,5.0235
2000-04-03,-0.8969
2000-04-04,1.0558
2000-04-05,1.4925
2000-04-06,1.9118
2000-04-07,1.0101
2000-04-10,-0.5714
2000-04-11,2.5862
2000-04-12,-1.9607999999999999
2000-04-13,-0.4286
2000-04-14,-5.7389
2000-04-17,-4.5662
2000-04-18,-1.5949
2000-04-19,-0.8104
2000-04-20,3.268
2000-04-24,-0.9494
2000-04-25,1.1182
2000-04-26,-1.5798
2000-04-27,1.6051
2000-04-28,-0.4739
2000-05-01,-1.5873
2000-05-02,1.129
2000-05-03,-0.9569
2000-05-04,0.6441
2000-05-05,3.04
2000-05-08,-0.1553
2000-05-09,-2.6439
2000-05-10,-3.1949
2000-05-11,1.6634
2000-05-12,-0.6536
2000-05-15,-0.3289
2000-05-16,0.495
2000-05-17,6.7323
2000-05-18,-0.4615
2000-05-19,-1.2365
2000-05-22,3.7559
2000-05-23,-2.8658
