ticker,PRQR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-18,13.3077
2014-09-19,11.1337
2014-09-22,-1.9548
2014-09-23,-1.8069
2014-09-24,3.7437
2014-09-25,-3.6696999999999997
2014-09-26,2.4127
2014-09-29,-1.5499
2014-09-30,8.2494
2014-10-01,-2.6178
2014-10-02,-0.7766
2014-10-03,0.3612
2014-10-06,-1.7397
2014-10-07,-1.0379
2014-10-08,-0.4935
2014-10-09,-0.31
2014-10-10,-3.8557
2014-10-13,-15.912
2014-10-14,-4.0
2014-10-15,-5.2885
2014-10-16,5.8376
2014-10-17,-0.1599
2014-10-20,2.2418
2014-10-21,1.9577
2014-10-22,0.384
2014-10-23,-0.5356
2014-10-24,-0.3077
2014-10-27,-4.8611
2014-10-28,-0.3244
2014-10-29,3.4988
2014-10-30,-0.6289
2014-10-31,1.5032
2014-11-03,0.3897
2014-11-04,-0.6988
2014-11-05,-3.5183999999999997
2014-11-06,-4.1329
2014-11-07,-3.2967
2014-11-10,0.0874
2014-11-11,0.262
2014-11-12,2.5261
2014-11-13,3.1436
2014-11-14,5.9308
2014-11-17,-2.4106
2014-11-18,1.9123999999999999
2014-11-19,1.4073
2014-11-20,7.1704
2014-11-21,6.4748
2014-11-24,0.8784
2014-11-25,0.9377
2014-11-26,0.8626
2014-11-28,-0.1974
2014-12-01,-3.4278
2014-12-02,3.5495
2014-12-03,3.8233
2014-12-04,2.0317
2014-12-05,14.0635
2014-12-08,-0.1637
2014-12-09,-0.6557
2014-12-10,-2.2002
2014-12-11,1.2373
2014-12-12,4.3333
2014-12-15,-9.9042
2014-12-16,4.8463
2014-12-17,1.8601999999999999
2014-12-18,3.5971
2014-12-19,8.1731
2014-12-22,-1.4321
2014-12-23,-0.7014
2014-12-24,-0.7064
2014-12-26,-3.9634
2014-12-29,3.7037
2014-12-30,4.3367
2014-12-31,5.9658
2015-01-02,-5.5838
2015-01-05,-3.9589
2015-01-06,-4.3766
2015-01-07,-2.9271000000000003
2015-01-08,7.3465
2015-01-09,1.1236
2015-01-12,-0.303
2015-01-13,0.3546
2015-01-14,-1.5649
2015-01-15,4.2051
2015-01-16,0.1969
2015-01-20,2.0138
2015-01-21,-0.3852
2015-01-22,-0.6767
2015-01-23,2.2384
2015-01-26,-1.3803
2015-01-27,-0.5792
2015-01-28,-0.2913
2015-01-29,-0.0974
2015-01-30,-2.1442
2015-02-02,-5.4781
2015-02-03,-6.8493
2015-02-04,-10.4072
2015-02-05,9.8485
