ticker,AMN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-11-13,27.4118
2001-11-14,-0.277
2001-11-15,0.2315
2001-11-16,-0.2771
2001-11-19,-0.88
2001-11-20,7.4766
2001-11-21,2.1739
2001-11-23,0.2553
2001-11-26,0.4669
2001-11-27,-0.7182
2001-11-28,1.6596
2001-11-29,2.972
2001-11-30,5.6911000000000005
2001-12-03,1.3462
2001-12-04,1.1006
2001-12-05,-0.9009
2001-12-06,-2.2727
2001-12-07,-2.1318
2001-12-10,1.0297
2001-12-11,-1.2152
2001-12-12,1.1905000000000001
2001-12-13,-1.8039
2001-12-14,-0.2796
2001-12-17,-1.2814999999999999
2001-12-18,0.8925
2001-12-19,5.3478
2001-12-20,2.0992
2001-12-21,0.3738
2001-12-24,0.5587
2001-12-26,0.3704
2001-12-27,0.9225
2001-12-28,0.5484
2001-12-31,-0.3636
2002-01-02,0.0
2002-01-03,-0.5474
2002-01-04,-1.0275
2002-01-07,-0.4449
2002-01-08,-1.3035
2002-01-09,-3.0566
2002-01-10,-1.8683999999999998
2002-01-11,-0.119
2002-01-14,-0.9531
2002-01-15,-3.5686
2002-01-16,-6.9023
2002-01-17,1.8312
2002-01-18,0.0
2002-01-22,-7.8509
2002-01-23,7.0919
2002-01-24,3.3333
2002-01-25,-0.7312
2002-01-28,0.4766
2002-01-29,-0.6037
2002-01-30,-0.2169
2002-01-31,1.7391
2002-02-01,4.9145
2002-02-04,-0.2444
2002-02-05,-2.6132999999999997
2002-02-06,-1.4675
2002-02-07,-3.4043
2002-02-08,3.8767
2002-02-11,1.5267
2002-02-12,3.2999
2002-02-13,-1.5366
2002-02-14,6.7762
2002-02-15,2.1154
2002-02-19,1.6573
2002-02-20,3.7420999999999998
2002-02-21,-0.8214
2002-02-22,-1.6925
2002-02-25,-0.1832
2002-02-26,-3.2294
2002-02-27,0.0758
2002-02-28,-0.5305
2002-03-01,-1.1429
2002-03-04,-2.3121
2002-03-05,0.9862
2002-03-06,2.5391
2002-03-07,-0.1524
2002-03-08,1.1064
2002-03-11,1.8868
2002-03-12,2.037
2002-03-13,-2.1779
2002-03-14,-1.8553
2002-03-15,0.189
2002-03-18,-0.0377
2002-03-19,0.2265
2002-03-20,1.6949
2002-03-21,0.0
2002-03-22,-1.8519
2002-03-25,0.0
2002-03-26,-0.0377
2002-03-27,0.4153
2002-03-28,1.1278
2002-04-01,-0.7435
2002-04-02,-2.6217
2002-04-03,5.7692
2002-04-04,4.5818
2002-04-05,0.3129
