ticker,SANW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-15,0.0
2010-06-16,2.5
2010-06-17,-3.6585
2010-06-18,-6.0759
2010-06-21,-3.7736
2010-06-22,-2.2409
2010-06-23,-2.0057
2010-06-24,2.3392
2010-06-25,0.2857
2010-06-28,2.2792
2010-06-29,-8.0815
2010-06-30,-0.9053
2010-07-01,-3.3639
2010-07-02,-3.481
2010-07-07,-3.2787
2010-07-08,10.1695
2010-07-09,7.3846
2010-07-12,1.7191999999999998
2010-07-13,4.2254
2010-07-14,2.7027
2010-07-15,1.8420999999999998
2010-07-16,-9.5607
2010-07-19,2.8571
2010-07-20,-2.7778
2010-07-21,2.0
2010-07-22,0.8403
2010-07-23,0.0
2010-07-26,-2.7813
2010-07-27,0.0036
2010-07-28,-2.8571
2010-07-29,1.4706000000000001
2010-07-30,-1.4493
2010-08-02,-2.9412000000000003
2010-08-03,-3.0303
2010-08-04,0.0
2010-08-05,-6.25
2010-08-06,-1.0
2010-08-09,30.6397
2010-08-10,-2.0619
2010-08-11,-5.2632
2010-08-12,3.8853999999999997
2010-08-13,1.3403
2010-08-16,-1.0554
2010-08-17,-4.2667
2010-08-18,-2.507
2010-08-19,-2.4571
2010-08-20,-0.4101
2010-08-23,0.0
2010-08-24,-0.2941
2010-08-25,0.0
2010-08-26,0.0
2010-08-27,0.295
2010-08-30,2.9412000000000003
2010-08-31,0.0
2010-09-01,0.0
2010-09-02,1.4285999999999999
2010-09-03,-1.4085
2010-09-08,-1.4285999999999999
2010-09-09,-0.5797
2010-09-10,0.5831
2010-09-13,0.0
2010-09-14,-1.1594
2010-09-15,-0.5865
2010-09-16,1.1799
2010-09-17,-0.8746
2010-09-20,-1.4706000000000001
2010-09-21,-3.5821
2010-09-22,5.2632
2010-09-23,-2.9412000000000003
2010-09-24,2.7273
2010-09-27,-2.5959
2010-09-28,-1.8776000000000002
2010-09-29,0.0
2010-09-30,-1.2346
2010-10-01,2.5879
2010-10-05,0.5236
2010-10-06,-5.1515
2010-10-07,-3.1949
2010-10-08,-0.33
2010-10-11,-3.3113
2010-10-12,3.4289
2010-10-13,3.307
2010-10-14,2.5681000000000003
2010-10-15,1.5585
2010-10-18,0.0
2010-10-19,-8.0
2010-10-20,-4.6823
2010-10-21,10.526299999999999
2010-10-22,-4.7619
2010-10-25,-3.3333
2010-10-26,1.7241
2010-10-27,-4.4068
2010-10-28,9.9291
2010-10-29,4.8387
2010-11-01,-3.0769
2010-11-02,-0.7361
