ticker,FN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-25,7.5
2010-06-28,0.093
2010-06-29,0.0
2010-06-30,-0.5576
2010-07-01,-0.2804
2010-07-02,0.8435
2010-07-06,1.2082
2010-07-07,1.5611000000000002
2010-07-08,-0.3617
2010-07-09,-0.1815
2010-07-12,-1.4545
2010-07-13,-0.8303
2010-07-14,-1.3023
2010-07-15,0.6598
2010-07-16,1.4045
2010-07-19,1.4774
2010-07-20,-1.3649
2010-07-21,-0.9225
2010-07-22,0.2793
2010-07-23,-2.507
2010-07-26,-3.1429
2010-07-27,-1.4748999999999999
2010-07-28,0.499
2010-07-29,2.284
2010-07-30,-1.3592
2010-08-02,-1.3780000000000001
2010-08-03,-1.1976
2010-08-04,9.3939
2010-08-05,2.2161
2010-08-06,1.626
2010-08-09,4.3556
2010-08-10,11.4991
2010-08-11,3.9725
2010-08-12,5.0698
2010-08-13,8.042
2010-08-16,0.9061
2010-08-17,-2.4375
2010-08-18,3.4845
2010-08-19,-3.6212999999999997
2010-08-20,-8.7014
2010-08-23,-0.5776
2010-08-24,-9.8039
2010-08-25,-4.5894
2010-08-26,-5.1477
2010-08-27,10.2313
2010-08-30,1.3721
2010-08-31,-2.7866
2010-09-01,2.5389
2010-09-02,1.1981
2010-09-03,10.812899999999999
2010-09-07,-0.7835
2010-09-08,0.3589
2010-09-09,1.0014
2010-09-10,-0.8499
2010-09-13,0.0714
2010-09-14,-2.2127
2010-09-15,6.7883
2010-09-16,10.526299999999999
2010-09-17,-3.154
2010-09-20,0.2554
2010-09-21,0.6369
2010-09-22,-5.0633
2010-09-23,-8.4
2010-09-24,5.6769
2010-09-27,7.7824
2010-09-28,0.3195
2010-09-29,-1.5287
2010-09-30,2.3286
2010-10-01,3.7295
2010-10-04,2.1938
2010-10-05,-0.3578
2010-10-06,-7.8995
2010-10-07,-1.8194
2010-10-08,-0.3309
2010-10-11,2.1248
2010-10-12,5.5267
2010-10-13,3.6969
2010-10-14,7.962
2010-10-15,5.6136
2010-10-18,-1.9802
2010-10-19,-7.0175
2010-10-20,1.4866
2010-10-21,-4.9014
2010-10-22,-1.4809999999999999
2010-10-25,-1.9844
2010-10-26,-1.9632
2010-10-27,0.0626
2010-10-28,-13.3208
2010-10-29,1.5873
2010-11-01,-4.6875
2010-11-02,14.2325
2010-11-03,-0.5219
2010-11-04,-1.3115
2010-11-05,-0.1993
2010-11-08,1.5979
2010-11-09,6.1599
2010-11-10,6.1111
2010-11-11,4.712
