ticker,MSFN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-03,-4.5455
2007-01-08,-4.7619
2007-01-09,-5.0
2007-01-11,0.0
2007-01-17,0.0
2007-01-18,10.0
2007-01-19,-4.3062000000000005
2007-01-22,3.9
2007-01-23,-6.1598
2007-01-31,2.5641
2007-02-06,-2.5
2007-02-08,0.0
2007-02-09,2.6667
2007-02-14,-0.0999
2007-02-20,-1.5
2007-02-28,0.0
2007-03-09,-2.0305
2007-04-25,-1.5544
2007-04-27,2.6316
2007-05-03,-4.6154
2007-05-07,1.0753
2007-05-08,-1.0638
2007-05-10,3.2258
2007-05-22,4.1667
2007-06-22,-7.5
2007-07-13,0.0
2007-07-20,0.0
2007-07-31,0.5405
2007-08-27,-0.5376
2007-08-31,0.0
2007-09-05,-2.5946
2007-09-12,3.2186
2007-09-13,0.0
2007-09-25,-0.5376
2007-10-05,0.0
2007-11-07,-13.5135
2007-11-08,0.0
2007-12-04,-18.125
2007-12-13,-8.3969
2007-12-17,2.5
2007-12-18,2.439
2007-12-21,0.0
2007-12-24,0.0
2007-12-28,0.0
2008-01-15,-11.1111
2008-01-16,10.7143
2008-04-04,0.0
2008-04-07,-75.8065
2008-04-15,166.6667
2008-06-18,1.25
2008-06-20,-25.9259
2008-06-24,0.0
2008-08-07,-25.0
2008-09-17,37.7778
2008-11-06,1.6129
2008-11-17,-4.7619
2008-12-01,-33.3333
2008-12-15,-7.5
2008-12-31,-91.8919
2009-01-15,1066.6667
2009-02-04,-82.2857
2009-03-20,222.5806
2009-04-16,0.0
2009-05-05,0.0
2009-05-06,-69.0
2009-05-08,222.5806
2009-05-15,-69.0
2009-08-26,22.5806
2009-08-31,-18.4211
2009-10-07,0.0
2009-12-14,-54.8387
2009-12-18,0.0
2009-12-22,-14.2857
2010-01-04,150.0
2010-02-22,226.6667
2010-02-25,-86.7347
2010-03-10,400.0
2010-04-22,-76.9231
2010-04-23,553.3333
2010-05-19,-9.1837
2010-05-24,4.4944
2010-05-25,-3.2258
2010-07-19,-95.5556
2010-07-20,-32.5
2010-07-22,0.0
2010-07-23,307.4074
2010-07-26,-72.7273
2010-08-02,-10.0
2010-08-03,0.463
2010-08-23,-26.2673
2010-08-30,0.0
2010-09-28,0.0
2010-10-13,0.0
2010-12-15,0.0
2010-12-16,2550.0
2010-12-28,-1.8868
2010-12-31,-96.1538
2011-01-06,-45.0
2011-01-07,18.1818
2011-01-18,0.0
2011-02-04,3.8462
2011-02-09,0.0
2011-02-16,0.0
2011-03-02,0.9259
2011-04-05,17.4312
2011-04-15,0.0
2011-05-11,0.0
2011-05-25,0.0
2011-06-22,0.0
2011-06-27,462.5
2011-07-19,11.1111
2011-11-02,-84.0
2011-11-29,0.0
2011-12-05,0.0
2011-12-22,0.0
2011-12-28,-51.9531
2012-01-19,-2.439
2012-03-09,0.0
2012-07-30,20.0
2012-09-13,11.1111
2012-12-12,13.75
2012-12-20,5.4945
2013-01-16,-5.2083
2013-03-12,5.4945
2014-03-04,34.8958
2014-04-22,0.0
2014-12-15,0.0
2015-04-28,0.7722
2015-09-29,-0.7663
2015-11-11,2988.8031
2015-12-17,-90.0
2016-01-29,-40.0
2016-06-02,0.0
2016-11-14,33.3333
2016-11-15,50.0
2016-11-21,10.0
2016-11-23,-54.5455
2016-12-08,-33.3333
2017-06-27,0.0
2017-07-25,0.0
2017-10-17,-25.0
2017-12-19,0.0
2018-03-05,500.0
2018-03-07,-66.6667
2018-06-19,233.3333
2018-07-13,0.0
2018-07-23,0.0
2018-07-30,-90.0
2019-12-31,400.0
2020-01-08,0.0
2020-01-13,0.0
2020-01-21,-80.0
2020-01-23,255.6
2020-02-14,40.6074
2020-02-20,0.0
2020-03-02,-50.0
2020-03-12,60.0
2020-03-13,-37.5
2020-03-31,200.0
2020-06-01,283.3333
2020-06-15,-79.1304
2020-06-16,391.6667
2020-06-25,11.8644
2020-07-01,-60.6061
2020-07-14,-53.8462
2020-07-20,83.3333
