ticker,FCPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-30,1.4285999999999999
2015-11-02,10.1972
2015-11-03,2.3517
2015-11-04,1.9481000000000002
2015-11-05,-1.0779
2015-11-06,-2.4269
2015-11-09,-2.2843
2015-11-10,5.8701
2015-11-11,3.8763
2015-11-12,-3.0231
2015-11-13,1.0229
2015-11-16,-2.3626
2015-11-17,-1.9752999999999998
2015-11-18,-3.5263999999999998
2015-11-19,3.1854
2015-11-20,-0.1518
2015-11-23,-0.6589
2015-11-24,0.4592
2015-11-25,-0.4571
2015-11-27,-0.4592
2015-11-30,1.4864
2015-12-01,4.5455
2015-12-02,0.1449
2015-12-03,0.8201
2015-12-04,3.8756
2015-12-07,1.8425
2015-12-08,-2.2162
2015-12-09,-0.6938
2015-12-10,1.2576
2015-12-11,-1.6099
2015-12-14,-1.0753
2015-12-15,0.6616
2015-12-16,1.5023
2015-12-17,1.3876
2015-12-18,3.5128
2015-12-21,2.9088000000000003
2015-12-22,-1.0278
2015-12-23,1.2549000000000001
2015-12-24,0.1282
2015-12-28,1.6644999999999999
2015-12-29,1.5953
2015-12-30,-0.8678
2015-12-31,0.7086
2016-01-04,-2.4834
2016-01-05,-0.7216
2016-01-06,-0.2993
2016-01-07,-0.6432
2016-01-08,-0.0863
2016-01-11,0.7343
2016-01-12,-2.2298
2016-01-13,0.5702
2016-01-14,-0.3925
2016-01-15,1.0331
2016-01-19,2.7267
2016-01-20,0.1327
2016-01-21,3.7111
2016-01-22,2.492
2016-01-25,1.6209
2016-01-26,1.6564
2016-01-27,-1.8709
2016-01-28,1.23
2016-01-29,2.6731
2016-02-01,1.716
2016-02-02,-1.9779
2016-02-03,0.0
2016-02-04,-1.6617
2016-02-05,-2.1726
2016-02-08,-6.6009
2016-02-09,-0.9247
2016-02-10,-1.0667
2016-02-11,2.7628
2016-02-12,3.0164
2016-02-16,2.2915
2016-02-17,0.4356
2016-02-18,0.2478
2016-02-19,1.8540999999999999
2016-02-22,-0.9102
2016-02-23,-2.0821
2016-02-24,-0.9381
2016-02-25,3.5354
2016-02-26,-0.5488
2016-02-29,0.6131
2016-03-01,3.5343999999999998
2016-03-02,3.8846
2016-03-03,-2.2096
2016-03-04,-0.5794
2016-03-07,3.0303
2016-03-08,-1.6968
2016-03-09,0.8055
2016-03-10,-1.8836
2016-03-11,5.701
2016-03-14,-1.1558
2016-03-15,-1.0579
2016-03-16,0.0563
2016-03-17,0.5624
2016-03-18,-0.3915
2016-03-21,1.516
