ticker,NGHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-21,-0.2105
2014-02-24,0.211
2014-02-25,-1.4035
2014-02-26,0.7972
2014-02-27,-0.579
2014-02-28,0.8514
2014-03-03,0.0009
2014-03-04,0.0
2014-03-05,-0.5634
2014-03-06,-0.0708
2014-03-07,0.6352
2014-03-10,0.0026
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,0.0
2014-03-14,-1.0563
2014-03-17,-0.3559
2014-03-18,-0.0714
2014-03-19,-0.143
2014-03-20,0.2147
2014-03-21,-3.0
2014-03-24,2.7982
2014-03-25,0.2865
2014-03-26,0.0
2014-03-27,-0.2857
2014-03-28,0.2865
2014-03-31,0.0715
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,-0.0714
2014-04-07,0.0
2014-04-08,0.0715
2014-04-09,0.0
2014-04-10,-0.3571
2014-04-11,0.0
2014-04-14,0.2151
2014-04-15,-0.2146
2014-04-16,0.2867
2014-04-17,0.143
2014-04-21,-0.2855
2014-04-22,0.1432
2014-04-23,0.0715
2014-04-24,0.0
2014-04-25,0.0
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,-0.9286
2014-05-01,0.9373
2014-05-02,-0.1429
2014-05-05,0.0715
2014-05-06,0.0715
2014-05-07,-0.0714
2014-05-08,0.0
2014-05-09,-0.143
2014-05-12,0.2147
2014-05-13,-0.0714
2014-05-14,0.0715
2014-05-15,2.3571
2014-05-16,3.4892
2014-05-19,-1.5509
2014-05-20,0.6164
2014-05-21,0.4765
2014-05-22,0.813
2014-05-23,3.4274
2014-05-27,3.3788
2014-05-28,0.5657
2014-05-29,3.0625
2014-05-30,-0.5458
2014-06-02,1.2195
2014-06-03,-0.6024
2014-06-04,2.0
2014-06-05,-0.4753
2014-06-06,-0.8955
2014-06-09,-0.5422
2014-06-10,1.2114
2014-06-11,-0.778
2014-06-12,2.1713
2014-06-13,0.1181
2014-06-16,-0.1769
2014-06-17,0.4135
2014-06-18,1.4706000000000001
2014-06-19,4.1739
2014-06-20,-1.2243
2014-06-23,-2.8169
2014-06-24,1.4493
2014-06-25,1.4285999999999999
2014-06-26,-2.5352
2014-06-27,-1.1561
2014-06-30,1.8138999999999998
2014-07-01,0.9195
2014-07-02,1.7084000000000001
2014-07-03,1.9037
2014-07-07,-2.0879
2014-07-08,2.9181
2014-07-09,1.8538999999999999
2014-07-10,-2.9443
2014-07-11,0.1655
2014-07-14,0.0
2014-07-15,1.9273
