ticker,FTPM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-02,0.0
2011-03-03,0.0
2011-04-18,0.0
2011-04-19,8.4
2011-04-20,14.3911
2011-04-21,-17.7419
2011-04-25,-37.2549
2011-04-26,18.75
2011-04-27,-10.526299999999999
2011-04-28,17.647100000000002
2011-04-29,0.0
2011-05-02,25.0
2011-05-03,11.6
2011-05-04,-6.8100000000000005
2011-05-05,-23.0769
2011-05-06,20.0
2011-05-09,-16.6667
2011-05-10,0.0
2011-05-11,0.0625
2011-05-12,-0.0625
2011-05-13,0.0
2011-05-16,5.0
2011-05-17,-11.9048
2011-05-18,2.7027
2011-05-19,0.0
2011-05-20,0.0
2011-05-23,26.3158
2011-05-24,-4.1667
2011-05-25,8.6957
2011-05-26,-20.0
2011-05-27,5.0
2011-05-31,0.0
2011-06-01,19.0476
2011-06-02,-20.0
2011-06-03,5.0
2011-06-06,-9.5238
2011-06-07,-4.2105
2011-06-08,0.0
2011-06-09,-3.8462
2011-06-10,-14.2857
2011-06-13,-3.3333
2011-06-14,10.3448
2011-06-15,0.0
2011-06-16,6.25
2011-06-17,5.8824
2011-06-21,-2.7778
2011-06-23,0.0
2011-06-24,-2.8571
2011-06-27,-25.8824
2011-06-28,-4.7619
2011-06-29,0.0
2011-06-30,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,-16.6667
2011-07-08,-10.0
2011-07-11,-11.1111
2011-07-12,50.0
2011-07-13,25.0
2011-07-14,20.0
2011-07-15,22.2222
2011-07-18,104.5455
2011-07-19,26.6667
2011-07-20,4.386
2011-07-21,0.8403
2011-07-22,16.6667
2011-07-25,-21.4286
2011-07-26,32.7273
2011-07-27,-22.3288
2011-07-28,-22.3986
2011-07-29,13.6364
2011-08-01,-0.8
2011-08-02,-7.2581
2011-08-03,-8.6957
2011-08-04,-21.1905
2011-08-05,9.5166
2011-08-08,-14.4828
2011-08-09,-3.2258
2011-08-10,-30.0
2011-08-11,-4.7619
2011-08-12,-5.0
2011-08-15,15.7895
2011-08-16,13.6364
2011-08-17,2.0
2011-08-18,-21.5686
2011-08-19,0.0
2011-08-22,0.0
2011-08-23,25.0
2011-08-24,-4.0
2011-08-25,-12.5
2011-08-26,-4.7619
2011-08-29,0.0
2011-08-30,-25.0
2011-08-31,10.0
2011-09-01,9.0909
2011-09-02,22.2222
2011-09-06,-18.1818
2011-09-07,-5.5556
2011-09-08,-11.7647
2011-09-12,0.0
2011-09-13,0.0
2011-09-14,-0.6667
