ticker,AZEK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-12,18.0435
2020-06-15,8.6556
2020-06-16,0.678
2020-06-17,-0.6734
2020-06-18,2.4746
2020-06-19,0.5624
2020-06-22,-1.3158
2020-06-23,5.2
2020-06-24,-1.2991
2020-06-25,-0.8026
2020-06-26,0.3236
2020-06-29,3.6129
2020-06-30,-0.8095
2020-07-01,0.408
2020-07-02,1.9068
2020-07-06,-3.2515
2020-07-07,2.2511
2020-07-08,-1.2713
2020-07-09,0.5025
2020-07-10,-2.8125
2020-07-13,-0.7395
2020-07-14,1.6521
2020-07-15,-0.5417
2020-07-16,0.9292
2020-07-17,1.3651
2020-07-20,0.6577
2020-07-21,-0.3423
2020-07-22,-0.1561
2020-07-23,2.6266
2020-07-24,-1.2797
2020-07-27,5.463
2020-07-28,-0.4975
2020-07-29,-1.2941
2020-07-30,2.503
2020-07-31,0.2907
