ticker,SSNC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-31,0.5333
2010-04-01,0.2653
2010-04-05,-0.463
2010-04-06,1.5947
2010-04-07,-1.2426
2010-04-08,4.106
2010-04-09,1.782
2010-04-12,3.1867
2010-04-13,-0.5451
2010-04-14,0.1827
2010-04-15,0.6687
2010-04-16,2.657
2010-04-19,-2.7058999999999997
2010-04-20,-0.3628
2010-04-21,-0.7888
2010-04-22,-2.0795
2010-04-23,0.5621
2010-04-26,2.1739
2010-04-27,0.6079
2010-04-28,-0.1813
2010-04-29,1.6949
2010-04-30,-0.119
2010-05-03,-0.298
2010-05-04,-0.538
2010-05-05,-1.863
2010-05-06,-2.6332
2010-05-07,-0.9434
2010-05-10,-2.7937
2010-05-11,0.1306
2010-05-12,5.1533
2010-05-13,3.66
2010-05-14,-0.1197
2010-05-17,-1.3182
2010-05-18,0.6679
2010-05-19,-1.4777
2010-05-20,-5.8157
2010-05-21,-2.1774
2010-05-24,4.6512
2010-05-25,-0.5079
2010-05-26,3.7013
2010-05-27,1.4769
2010-05-28,-1.0309
2010-06-01,0.1838
2010-06-02,2.4465
2010-06-03,0.1791
2010-06-04,-2.0262000000000002
2010-06-07,-1.5207000000000002
2010-06-08,0.6794
2010-06-09,-0.4294
2010-06-10,1.1091
2010-06-11,2.0719
2010-06-14,3.5821
2010-06-15,3.7464
2010-06-16,1.3333
2010-06-17,-3.7829
2010-06-18,-3.1909
2010-06-21,-1.9423
2010-06-22,-2.1609
2010-06-23,-1.2883
2010-06-24,0.3729
2010-06-25,2.5387
2010-06-28,1.9928
2010-06-29,-2.5459
2010-06-30,-2.6124
2010-07-01,-0.3743
2010-07-02,3.1309
2010-07-06,0.6072
2010-07-07,3.5606999999999998
2010-07-08,3.4965
2010-07-09,2.4775
2010-07-12,-0.4945
2010-07-13,-2.6505
2010-07-14,-3.2898
2010-07-15,-0.7038
2010-07-16,-4.0756
2010-07-19,1.4778
2010-07-20,0.5461
2010-07-21,-3.0779
2010-07-22,2.7397
2010-07-23,1.697
2010-07-26,0.8939
2010-07-27,0.4135
2010-07-28,-1.5293999999999999
2010-07-29,-0.2987
2010-07-30,2.4566
2010-08-02,-0.2924
2010-08-03,-1.7008999999999999
2010-08-04,1.611
2010-08-05,-2.8186
2010-08-06,0.7251
2010-08-09,0.7798
2010-08-10,-3.1548
2010-08-11,-5.716
2010-08-12,-3.5202
2010-08-13,2.0946
2010-08-16,-0.3309
2010-08-17,1.3944
