ticker,SSOF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-09,-7.6923
2017-05-10,-12.5
2017-05-11,-23.8095
2017-05-12,18.75
2017-05-15,-10.526299999999999
2017-05-16,29.4118
2017-05-17,0.0
2017-05-18,-4.5455
2017-05-19,-14.2857
2017-05-22,88.8889
2017-05-23,164.7059
2017-05-24,-25.5556
2017-05-25,-25.3731
2017-05-26,38.0
2017-05-30,4.3478
2017-05-31,-11.1111
2017-06-01,-9.375
2017-06-02,5.1724
2017-06-05,-21.3115
2017-06-06,0.0
2017-06-07,-10.0
2017-06-08,-7.4074
2017-06-09,16.0
2017-06-12,0.0
2017-06-13,-10.3448
2017-06-14,11.538499999999999
2017-06-15,3.4483
2017-06-16,-20.0
2017-06-19,25.0
2017-06-20,-16.6667
2017-06-21,-4.0
2017-06-22,16.6667
2017-06-23,0.0
2017-06-26,7.1429
2017-06-27,-13.3333
2017-06-28,15.3846
2017-06-29,3.3333
2017-06-30,3.2258
2017-07-03,-9.375
2017-07-05,-3.4483
2017-07-06,-10.7143
2017-07-07,0.0
2017-07-10,-4.0
2017-07-11,8.3333
2017-07-12,-7.6923
2017-07-13,8.3333
2017-07-14,-7.6923
2017-07-17,12.5
2017-07-18,-7.4074
2017-07-19,8.0
2017-07-20,-7.4074
2017-07-21,4.0
2017-07-24,-3.8462
2017-07-25,-12.0
2017-07-26,-9.0909
2017-07-27,-20.0
2017-07-28,25.0
2017-07-31,-10.0
2017-08-01,-22.2222
2017-08-02,-7.1429
2017-08-03,0.0
2017-08-04,-7.6923
2017-08-07,25.0
2017-08-08,6.6667
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,-6.25
2017-08-14,0.0
2017-08-15,-20.0
2017-08-16,8.3333
2017-08-17,7.6923
2017-08-18,-21.4286
2017-08-21,27.2727
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,35.7143
2017-08-28,-10.526299999999999
2017-08-29,35.2941
2017-08-30,-26.087
2017-08-31,5.8824
2017-09-01,0.0
2017-09-05,22.2222
2017-09-06,-4.5455
2017-09-07,-1.4285999999999999
2017-09-08,-3.3816
2017-09-11,-15.0
2017-09-12,11.7647
2017-09-13,-10.526299999999999
2017-09-14,0.0
2017-09-15,-8.8235
2017-09-18,9.6774
2017-09-19,-5.8824
2017-09-20,0.0
2017-09-21,6.25
2017-09-22,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,-11.7647
2017-09-28,0.0
2017-09-29,0.0
