ticker,ONSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-28,-13.6364
2010-05-04,0.0
2010-05-10,-46.3158
2010-07-15,47.0588
2010-07-16,-58.6667
2010-07-27,-19.3548
2010-07-28,0.0
2010-08-23,56.0
2010-09-07,-28.2051
2010-09-09,125.0
2010-09-13,-33.3333
2010-09-14,-9.6875
2010-09-16,29.1811
2010-09-20,-14.2857
2010-09-21,33.3333
2010-09-23,-50.0
2010-09-24,0.0
2010-09-30,100.0
2010-10-01,-12.5
2010-10-04,-7.1429
2010-10-05,-36.6346
2010-10-06,0.0
2010-10-07,-2.8832
2010-10-12,25.0
2010-10-19,-40.0
2010-10-20,-32.9167
2010-10-21,118.6335
2010-10-26,-50.0
2010-10-27,0.0
2010-10-28,104.5455
2010-10-29,-55.5556
2010-11-01,50.0
2010-11-02,-29.375
2010-11-03,-29.2035
2010-11-04,86.6667
2010-11-05,25.0
2010-11-09,-25.7143
2010-11-10,-26.9231
2010-11-12,15.1316
2010-11-26,-54.2857
2010-11-29,-40.0
2010-12-09,108.3333
2010-12-22,-36.0
2010-12-27,96.0937
2010-12-28,-4.3825
2011-01-06,6.6667
2011-01-14,-6.25
2011-01-25,6.6667
2011-01-26,37.5
2011-01-27,72.7273
2011-01-28,-21.0526
2011-01-31,-21.6667
2011-02-02,-19.9468
2011-02-07,6.3123000000000005
2011-02-08,50.0
2011-02-09,0.0
2011-02-10,3.3333
2011-02-11,12.9032
2011-02-14,2.8571
2011-02-15,0.0
2011-02-16,11.1111
2011-02-17,-12.5
2011-02-18,-17.1429
2011-02-22,-25.8621
2011-02-23,6.9767
2011-02-24,-3.8043
2011-02-25,12.9944
2011-02-28,-8.0
2011-03-01,4.3478
2011-03-02,-8.3333
2011-03-03,13.6364
2011-03-04,-10.0
2011-03-07,6.6667
2011-03-08,-4.1667
2011-03-09,0.0
2011-03-10,8.6957
2011-03-11,-24.0
2011-03-14,-21.0526
2011-03-15,6.6667
2011-03-16,-6.25
2011-03-18,0.0
2011-03-21,-13.3333
2011-03-22,-7.6923
2011-03-23,0.0
2011-03-24,9.8958
2011-03-28,-9.0047
2011-03-29,0.0
2011-03-30,4.1667
2011-03-31,-12.0
2011-04-04,9.0909
2011-04-05,0.0
2011-04-06,0.0
2011-04-07,-4.1667
2011-04-08,21.7391
2011-04-14,-17.8571
2011-04-15,-55.4348
2011-04-18,95.122
2011-04-19,-45.0
2011-04-20,0.0
2011-04-21,0.0
2011-04-25,-9.0909
2011-05-03,-77.5
