ticker,DMNB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-26,21.4953
2010-01-21,-25.6886
2010-01-27,32.1101
2010-12-28,-18.4783
2011-01-12,22.807
2011-01-14,4.2857
2011-05-05,-11.6998
2015-09-08,47.7024
2016-11-17,45.8547
2017-06-08,1.0638
2017-06-16,10.0
2019-07-11,16.75
2019-10-03,10.3542
2019-12-27,0.0261
