ticker,GSUM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-23,21.1538
2016-09-26,1.0794
2016-09-27,4.5226
2016-09-28,2.1034
2016-09-29,-1.4126
2016-09-30,0.597
2016-10-03,-0.8309
2016-10-04,6.8223
2016-10-05,-2.577
2016-10-06,-3.2777
2016-10-07,-0.1189
2016-10-10,6.3095
2016-10-11,-3.3595
2016-10-12,-1.5643
2016-10-13,-3.1195
2016-10-14,-0.1823
2016-10-17,-0.0609
2016-10-18,-2.2533
2016-10-19,0.6231
2016-10-20,0.3096
2016-10-21,-0.9877
2016-10-24,-4.1147
2016-10-25,-5.1365
2016-10-26,-0.5483
2016-10-27,-2.4121
2016-10-28,-1.4123999999999999
2016-10-31,0.788
2016-11-01,-1.4925
2016-11-02,4.9784
2016-11-03,9.9656
2016-11-04,0.9375
2016-11-07,-0.1858
2016-11-08,-0.1861
2016-11-09,-4.2884
2016-11-10,-6.6883
2016-11-11,3.3403
2016-11-14,-2.2896
2016-11-15,11.0958
2016-11-16,-5.7072
2016-11-17,1.6447
2016-11-18,0.5825
2016-11-21,2.1879
2016-11-22,-8.5642
2016-11-23,-0.1377
2016-11-25,4.4828
2016-11-28,-1.7162
2016-11-29,0.9738
2016-11-30,-1.0974
2016-12-01,-0.4035
2016-12-02,-3.2411
2016-12-05,1.8144
2016-12-06,-0.2742
2016-12-07,-2.543
2016-12-08,-1.2694
2016-12-09,-5.3571
2016-12-12,-1.9623
2016-12-13,-3.1563
2016-12-14,-0.159
2016-12-15,2.3089
2016-12-16,-4.6693
2016-12-19,-6.449
2016-12-20,-5.8464
2016-12-21,0.0927
2016-12-22,-0.9259
2016-12-23,4.1121
2016-12-27,-2.4237
2016-12-28,-5.0598
2016-12-29,-1.938
2016-12-30,0.6917
2017-01-03,-0.7851
2017-01-04,-0.2967
2017-01-05,0.6944
2017-01-06,8.9655
2017-01-09,7.1429
2017-01-10,-5.7384
2017-01-11,0.6267
2017-01-12,-5.1601
2017-01-13,1.5009000000000001
2017-01-17,4.8983
2017-01-18,3.0837
2017-01-19,1.8803
2017-01-20,-1.4262000000000001
2017-01-23,1.1064
2017-01-24,0.9259
2017-01-25,-0.834
2017-01-26,-1.0934
2017-01-27,1.1054
2017-01-30,-0.841
2017-01-31,1.7812000000000001
2017-02-01,-0.1667
2017-02-02,-0.9182
2017-02-03,1.0952
2017-02-06,0.75
2017-02-07,-0.0827
2017-02-08,1.4073
2017-02-09,-0.3265
2017-02-10,-0.0819
