ticker,AFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0284
2000-01-04,-2.2222
2000-01-05,-2.5253
2000-01-06,2.5907
2000-01-07,4.0404
2000-01-10,-2.4272
2000-01-11,-3.2338
2000-01-12,-0.5141
2000-01-13,2.584
2000-01-14,-1.2723
2000-01-18,-1.8041
2000-01-19,-0.5249
2000-01-20,-5.0132
2000-01-21,1.1111
2000-01-24,-1.9231
2000-01-25,-1.1204
2000-01-26,-0.2833
2000-01-27,-0.2841
2000-01-28,-1.4245
2000-01-31,-1.1561
2000-02-01,-1.1696
2000-02-02,1.1834
2000-02-03,-2.3392
2000-02-04,0.8982
2000-02-07,-3.2641
2000-02-08,0.9202
2000-02-09,-3.3435
2000-02-10,-3.4591
2000-02-11,-1.6287
2000-02-14,-1.9868000000000001
2000-02-15,1.6892
2000-02-16,7.9734
2000-02-17,-2.1538
2000-02-18,-2.2013
2000-02-22,7.3955
2000-02-23,1.1976
2000-02-24,-2.071
2000-02-25,2.4169
2000-02-28,0.885
2000-02-29,-1.7544
2000-03-01,-4.7619
2000-03-02,3.125
2000-03-03,-0.9091
2000-03-06,-0.3058
2000-03-07,0.3067
2000-03-08,-1.2232
2000-03-09,0.0
2000-03-10,0.6192
2000-03-13,-0.9231
2000-03-14,0.3106
2000-03-15,3.7152
2000-03-16,6.5672
2000-03-17,0.5602
2000-03-20,-0.5571
2000-03-21,7.8431
2000-03-22,-3.1169000000000002
2000-03-23,2.681
2000-03-24,0.0
2000-03-27,-2.0888
2000-03-28,6.6667
2000-03-29,2.0
2000-03-30,5.3922
2000-03-31,6.5116
2000-04-03,-0.655
2000-04-04,-4.8352
2000-04-05,1.6166
2000-04-06,-1.8182
2000-04-07,-0.2315
2000-04-10,-1.3921000000000001
2000-04-11,1.4118
2000-04-12,1.8561
2000-04-13,-0.4598
2000-04-14,-3.2333
2000-04-17,-2.6253
2000-04-18,1.7157
2000-04-19,-1.4458
2000-04-20,-2.445
2000-04-24,1.7544
2000-04-25,2.7094
2000-04-26,1.9184999999999999
2000-04-27,-4.2353
2000-04-28,0.0
2000-05-01,3.1941
2000-05-02,-1.4285999999999999
2000-05-03,-3.6231999999999998
2000-05-04,4.01
2000-05-05,-0.241
2000-05-08,0.7246
2000-05-09,2.8777
2000-05-10,-0.6993
2000-05-11,2.5822000000000003
2000-05-12,-2.5172
2000-05-15,1.6432
2000-05-16,0.6928
2000-05-17,-1.8349
2000-05-18,0.9346
2000-05-19,-2.5463
