ticker,BRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.7624
2000-01-04,-4.5455
2000-01-05,-0.254
2000-01-06,-1.6
2000-01-07,-2.2358000000000002
2000-01-10,-1.0395
2000-01-11,-2.1008
2000-01-12,0.2146
2000-01-13,2.5696
2000-01-14,-1.2526
2000-01-18,1.9026999999999998
2000-01-19,-0.6224
2000-01-20,0.6263
2000-01-21,-1.8672
2000-01-24,-1.4799
2000-01-25,-3.8627000000000002
2000-01-26,-5.3571
2000-01-27,0.4717
2000-01-28,2.5822000000000003
2000-01-31,4.119
2000-02-01,0.4396
2000-02-02,-1.0941
2000-02-03,-1.3274
2000-02-04,0.0
2000-02-07,1.5695000000000001
2000-02-08,1.1038000000000001
2000-02-09,-1.0917
2000-02-10,-0.6623
2000-02-11,-4.6667
2000-02-14,4.1958
2000-02-15,-1.7896999999999998
2000-02-16,-2.2779
2000-02-17,-0.4662
2000-02-18,-0.4684
2000-02-22,-2.1176
2000-02-23,-0.7212
2000-02-24,-3.632
2000-02-25,-0.5025
2000-02-28,1.2626
2000-02-29,8.2294
2000-03-01,-3.6866
2000-03-02,-0.2392
2000-03-03,0.4796
2000-03-06,1.5067
2000-03-07,-0.0736
2000-03-08,0.0
2000-03-09,0.7059
2000-03-10,0.9346
2000-03-13,-0.9259
2000-03-14,-1.4019
2000-03-15,0.9479
2000-03-16,6.5728
2000-03-17,5.5066
2000-03-20,-3.1315
2000-03-21,2.3707
2000-03-22,-1.8947
2000-03-23,1.2876
2000-03-24,1.0593
2000-03-27,0.2096
2000-03-28,-2.9289
2000-03-29,-2.5862
2000-03-30,11.2832
2000-03-31,-0.7952
2000-04-03,-0.6012
2000-04-04,-4.4355
2000-04-05,3.5865
2000-04-06,1.165
2000-04-07,3.2389
2000-04-10,-0.3922
2000-04-11,-1.5748
2000-04-12,-0.2
2000-04-13,-1.6032
2000-04-14,-0.8147
2000-04-17,-1.8479999999999999
2000-04-18,6.2762
2000-04-19,0.7874
2000-04-20,-1.7578
2000-04-24,-2.9821
2000-04-25,-3.6885
2000-04-26,-3.1915
2000-04-27,-2.6374
2000-04-28,6.0948
2000-05-01,3.1915
2000-05-02,1.8557000000000001
2000-05-03,-4.8583
2000-05-04,1.2766
2000-05-05,1.8908
2000-05-08,-1.0309
2000-05-09,-1.6667
2000-05-10,-3.8136
2000-05-11,5.7269
2000-05-12,5.4167
2000-05-15,-0.3953
2000-05-16,-2.5794
2000-05-17,0.8147
2000-05-18,-3.0303
