ticker,EUENF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-07-15,1650.0
2005-09-14,0.0
2005-12-07,50.0
2005-12-08,1.1905000000000001
2005-12-13,15.7647
2005-12-14,-2.439
2005-12-16,-14.1667
2005-12-22,21.3592
2005-12-29,-19.2
2005-12-30,0.0
2006-01-03,28.4653
2006-01-05,7.8998
2006-01-06,-21.4286
2006-01-09,-4.5455
2006-01-10,52.381
2006-01-11,0.625
2006-01-13,2.4845
2006-01-18,27.2727
2006-01-19,0.0
2006-01-20,0.0
2006-01-23,0.0
2006-01-24,0.0
2006-01-25,-4.7619
2006-01-26,4.5
2006-01-27,5.2632
2006-01-30,0.0
2006-01-31,11.3636
2006-02-01,4.0816
2006-02-02,4.3137
2006-02-03,7.1429
2006-02-06,-1.7544
2006-02-07,-1.7856999999999998
2006-02-08,0.0
2006-02-09,1.8182
2006-02-10,1.4285999999999999
2006-02-13,0.0
2006-02-14,0.0
2006-02-15,0.3521
2006-02-16,0.0
2006-02-17,0.0
2006-02-21,1.7544
2006-02-22,-6.8966
2006-02-23,3.7037
2006-02-24,0.0
2006-02-27,-5.3571
2006-02-28,-16.6038
2006-03-01,22.1719
2006-03-03,7.4074
2006-03-06,0.0
2006-03-08,-10.3448
2006-03-09,0.0
2006-03-10,-3.8462
2006-03-13,0.0
2006-03-15,-2.0
2006-03-17,0.0
2006-03-20,0.0
2006-03-21,-2.0408
2006-03-22,0.0
2006-03-23,0.0
2006-03-24,8.3333
2006-03-27,0.0
2006-03-28,5.7692
2006-03-30,12.7273
2006-03-31,-3.2258
2006-04-04,-8.0
2006-04-05,0.0
2006-04-06,5.0725
2006-04-07,-10.3448
2006-04-10,1.9231
2006-04-11,9.434
2006-04-17,-3.4483
2006-04-18,3.5714
2006-04-19,6.8966
2006-04-20,4.8387
2006-04-21,10.7692
2006-04-25,-2.7778
2006-04-26,-8.5714
2006-04-27,0.0
2006-05-01,9.375
2006-05-02,-14.2857
2006-05-03,5.0
2006-05-04,-3.1746
2006-05-05,3.2787
2006-05-08,19.0476
2006-05-09,-6.6667
2006-05-10,-7.1429
2006-05-12,-4.6154
2006-05-15,1.6129
2006-05-16,9.5238
2006-05-17,2.8986
2006-05-18,1.4085
2006-05-19,3.3333
2006-05-22,-5.914
2006-05-23,-7.1429
2006-05-24,-3.0769
2006-05-25,3.1746
2006-05-26,-2.4615
2006-05-30,1.5773000000000001
2006-05-31,-2.1739
2006-06-01,0.0
2006-06-02,-4.7619
2006-06-05,-10.6667
