ticker,VALV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-21,0.0
2007-02-20,0.0
2007-03-02,0.0
2007-03-30,0.0
2007-04-10,0.0
2007-04-26,-32.5
2007-04-30,11.1111
2007-07-24,-33.3333
2007-07-25,50.0
2007-07-26,0.0
2007-08-10,33.3333
2007-08-14,25.0
2007-10-22,-40.0
2008-02-20,166.6667
2008-02-22,-2.7891
2008-04-14,-35.7068
2008-05-12,-30.0
2008-05-14,-21.4286
2008-05-16,45.4545
2008-05-20,-6.25
2008-05-21,6.6667
2008-05-22,12.5
2008-05-23,13.3333
2008-05-27,47.0588
2008-05-28,23.3333
2008-06-12,37.8378
2008-06-13,0.0
2008-06-16,-5.8824
2008-06-18,6.25
2008-06-19,-7.8431
2008-06-23,0.0
2008-06-25,10.6383
2008-06-26,-3.8462
2008-06-30,-4.0
2008-07-03,4.1667
2008-07-07,0.0
2008-07-08,0.0
2008-07-10,4.0
2008-07-18,-1.9231
2008-07-21,-6.6667
2008-07-23,6.3025
2008-07-25,0.7905
2008-07-28,-6.6667
2008-07-29,7.1429
2008-07-30,17.647100000000002
2008-08-01,50.0
2008-08-05,-30.0
2008-08-06,26.9841
2008-08-13,-25.0
2008-08-20,-6.6667
2008-08-22,7.1429
2008-09-03,-16.6667
2008-09-16,-10.0
2008-09-18,-11.1111
2008-09-19,0.0
2008-09-23,0.0
2008-09-29,-12.5
2008-09-30,42.8571
2008-10-07,0.0
2008-10-13,0.0
2008-10-22,-2.0
2008-10-29,2.0408
2008-10-31,0.0
2008-11-04,0.0
2008-11-05,4.0
2008-12-01,-40.3846
2008-12-02,93.5484
2008-12-04,-20.3333
2009-01-08,-33.0544
2009-01-15,1.25
2009-02-02,-13.5802
2009-02-05,-9.2857
2009-02-06,18.1102
2009-02-09,16.6667
2009-02-10,-6.8571
2009-02-11,-7.9755
2009-02-12,32.6667
2009-02-13,0.5025
2009-02-17,12.5
2009-02-18,0.0
2009-02-20,0.0
2009-02-23,0.0
2009-02-24,-22.2222
2009-02-25,0.0
2009-02-26,28.0
2009-02-27,-10.7143
2009-03-02,12.0
2009-03-12,-10.7143
2009-03-13,0.0
2009-03-18,0.0
2009-03-24,25.0
2009-03-25,-10.4
2009-03-30,-10.7143
2009-03-31,5.0
2009-04-01,-4.7619
2009-04-06,-5.0
2009-04-07,0.0
2009-04-08,0.0
2009-04-09,5.2632
2009-04-13,0.0
2009-04-14,0.0
2009-04-23,0.0
2009-04-24,0.0
2009-04-28,0.0
