ticker,YY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-21,7.7143
2012-11-23,0.0884
2012-11-26,-0.1767
2012-11-27,7.9646
2012-11-28,6.7213
2012-11-29,2.4577999999999998
2012-11-30,6.2219
2012-12-03,2.6112
2012-12-04,-2.4759
2012-12-05,-7.1932
2012-12-06,-7.0669
2012-12-07,-0.4088
2012-12-10,1.3136
2012-12-11,4.5381
2012-12-12,1.4729
2012-12-13,1.6806999999999999
2012-12-14,2.5545
2012-12-17,8.0586
2012-12-18,-0.6102
2012-12-19,-7.2306
2012-12-20,5.0735
2012-12-21,-2.5192
2012-12-24,2.5844
2012-12-26,1.4696
2012-12-27,-3.5172
2012-12-28,0.2144
2012-12-31,1.7118
2013-01-02,0.3506
2013-01-03,-0.4892
2013-01-04,-5.1966
2013-01-07,2.5926
2013-01-08,-2.0939
2013-01-09,-0.885
2013-01-10,-1.0417
2013-01-11,3.4586
2013-01-14,0.3634
2013-01-15,-0.4345
2013-01-16,-0.7273
2013-01-17,-2.4908
2013-01-18,0.3757
2013-01-22,1.0479
2013-01-23,-1.4815
2013-01-24,-0.3008
2013-01-25,-0.0754
2013-01-28,1.1320999999999999
2013-01-29,1.0448
2013-01-30,1.9941
2013-01-31,0.1448
2013-02-01,0.5061
2013-02-04,-1.0072
2013-02-05,-2.1802
2013-02-06,0.4458
2013-02-07,2.9586
2013-02-08,0.5029
2013-02-11,0.5004
2013-02-12,0.2845
2013-02-13,-0.1418
2013-02-14,5.9658999999999995
2013-02-15,6.6354
2013-02-19,4.3997
2013-02-20,-0.602
2013-02-21,3.2295
2013-02-22,10.132
2013-02-25,2.5573
2013-02-26,-5.7143
2013-02-27,-2.7548
2013-02-28,4.136
2013-03-01,4.5702
2013-03-04,-1.4567999999999999
2013-03-05,1.5312000000000001
2013-03-06,3.9002
2013-03-07,-9.9099
2013-03-08,-3.6667
2013-03-11,1.3725
2013-03-12,-6.5878
2013-03-13,-2.6797
2013-03-14,1.627
2013-03-15,-3.5099
2013-03-18,0.5105
2013-03-19,-0.5079
2013-03-20,8.0408
2013-03-21,0.1772
2013-03-22,-0.2948
2013-03-25,1.8923999999999999
2013-03-26,3.9466
2013-03-27,-2.0101
2013-03-28,-3.7037
2013-04-01,0.5325
2013-04-02,2.2955
2013-04-03,-5.351
2013-04-04,-1.3982
2013-04-05,0.3083
2013-04-08,-1.9053
2013-04-09,-1.5664
2013-04-10,1.846
2013-04-11,-0.6875
2013-04-12,3.0208
2013-04-15,-2.2602
