ticker,COWN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-13,-0.75
2006-07-14,0.7557
2006-07-17,-1.25
2006-07-18,0.0
2006-07-19,-1.8671
2006-07-20,1.1932
2006-07-21,-0.8923
2006-07-24,0.3215
2006-07-25,2.5641
2006-07-26,-1.875
2006-07-27,0.0
2006-07-28,-2.5478
2006-07-31,0.4575
2006-08-01,-0.5205
2006-08-02,-0.8502
2006-08-03,2.9683
2006-08-04,0.1922
2006-08-07,-2.1739
2006-08-08,-6.0131
2006-08-09,-0.6954
2006-08-10,-4.0616
2006-08-11,4.0146
2006-08-14,1.1228
2006-08-15,-2.1513
2006-08-16,2.4823
2006-08-17,3.737
2006-08-18,-2.6017
2006-08-21,-2.8082000000000003
2006-08-22,1.2685
2006-08-23,-0.4871
2006-08-24,-3.007
2006-08-25,-3.4247
2006-08-28,2.8742
2006-08-29,1.6691
2006-08-30,0.571
2006-08-31,-0.071
2006-09-01,-1.2784
2006-09-05,1.7266
2006-09-06,0.0
2006-09-07,-1.3437000000000001
2006-09-08,0.0
2006-09-11,2.0072
2006-09-12,3.584
2006-09-13,3.9349
2006-09-14,1.7624
2006-09-15,2.6299
2006-09-18,2.625
2006-09-19,1.8879000000000001
2006-09-20,-1.7334
2006-09-21,-2.4939
2006-09-22,-1.31
2006-09-25,-1.5171000000000001
2006-09-26,2.5032
2006-09-27,-0.4383
2006-09-28,0.3145
2006-09-29,-0.8777
2006-10-02,0.8855
2006-10-03,-1.1912
2006-10-04,0.2538
2006-10-05,0.443
2006-10-06,-0.6931
2006-10-09,0.1269
2006-10-10,0.1267
2006-10-11,-1.8987
2006-10-12,2.5161
2006-10-13,1.888
2006-10-16,1.2971
2006-10-17,-4.3293
2006-10-18,-0.5736
2006-10-19,-1.153
2006-10-20,-0.0008
2006-10-23,-1.751
2006-10-24,-2.3102
2006-10-25,-1.0811
2006-10-26,0.6148
2006-10-27,-0.6789
2006-10-30,-1.2303
2006-10-31,0.0
2006-11-01,2.0761
2006-11-02,0.8814
2006-11-03,-1.8817
2006-11-06,2.7397
2006-11-07,-0.3333
2006-11-08,1.2709
2006-11-09,2.576
2006-11-10,-0.7727
2006-11-13,5.7755
2006-11-14,-0.2454
2006-11-15,4.182
2006-11-16,1.83
2006-11-17,-3.3623
2006-11-20,-2.7594
2006-11-21,0.6786
2006-11-22,-0.4289
2006-11-24,1.5385
2006-11-27,-3.3939
2006-11-28,2.5094
2006-11-29,1.224
2006-11-30,2.3579
