ticker,PGOG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-19,13.5135
2008-05-20,4.1667
2008-05-21,1.7143000000000002
2008-05-22,1.6854
2008-05-23,4.9724
2008-05-27,12.6316
2008-05-28,4.2056000000000004
2008-05-29,0.4484
2008-05-30,6.25
2008-06-02,2.521
2008-06-03,2.0492
2008-06-04,1.6064
2008-06-05,1.1858
2008-06-06,0.3906
2008-06-09,3.8911
2008-06-10,2.2472
2008-06-11,6.9597
2008-06-12,3.0822
2008-06-13,-3.6545
2008-06-16,-18.2759
2008-06-17,-17.7215
2008-06-18,-8.2051
2008-06-19,-28.4916
2008-06-20,26.5625
2008-06-23,16.0494
2008-06-24,-2.6596
2008-06-25,-1.0929
2008-06-26,-5.5249
2008-06-27,-2.924
2008-06-30,4.8193
2008-07-01,-7.4713
2008-07-02,0.6211
2008-07-03,0.0
2008-07-07,0.6173
2008-07-08,-1.8405
2008-07-09,-13.125
2008-07-10,0.7194
2008-07-11,-2.8571
2008-07-14,2.9412000000000003
2008-07-15,-2.1429
2008-07-16,0.7299
2008-07-17,2.8986
2008-07-18,-1.4085
2008-07-21,-3.5714
2008-07-22,-0.7407
2008-07-23,-5.9701
2008-07-24,-3.1746
2008-07-25,6.5574
2008-07-28,3.8462
2008-07-29,-4.4444
2008-07-30,0.7752
2008-07-31,-3.0769
2008-08-01,-0.7937
2008-08-04,-4.0
2008-08-05,-1.6667
2008-08-06,-10.1695
2008-08-07,-8.4906
2008-08-08,-4.1237
2008-08-11,2.1505
2008-08-12,0.0
2008-08-13,-1.0526
2008-08-14,-3.1915
2008-08-15,2.1978
2008-08-18,-4.3011
2008-08-19,2.2472
2008-08-20,2.1978
2008-08-21,-1.0753
2008-08-22,-2.1739
2008-08-25,0.0
2008-08-26,5.5556
2008-08-27,1.0526
2008-08-28,20.8333
2008-08-29,15.5172
2008-09-02,0.7463
2008-09-03,-0.7407
2008-09-04,-6.7164
2008-09-05,-10.4
2008-09-08,1.7856999999999998
2008-09-09,-3.5088
2008-09-10,-6.3636
2008-09-11,5.8252
2008-09-12,16.5138
2008-09-15,-9.4488
2008-09-16,-3.4783
2008-09-17,-2.7027
2008-09-18,1.8519
2008-09-19,-0.9091
2008-09-22,-2.7523
2008-09-23,10.3774
2008-09-24,-1.7094
2008-09-25,-6.087
2008-09-26,-2.7778
2008-09-29,-2.8571
2008-09-30,7.8431
2008-10-01,0.0
2008-10-02,-4.5455
2008-10-03,4.7619
2008-10-06,-4.5455
