ticker,ULTRF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-13,-4.1818
2006-10-16,-1.7078
2006-10-17,0.7722
2006-10-18,-1.0536
2006-10-19,-1.2585
2006-10-20,-0.2941
2006-10-23,-0.4916
2006-10-24,-1.1858
2006-10-25,2.9
2006-10-26,-0.0972
2006-10-27,4.572
2006-10-30,0.4651
2006-10-31,0.0926
2006-11-01,0.2775
2006-11-02,-0.369
2006-11-03,0.6481
2006-11-06,-0.644
2006-11-07,0.1852
2006-11-08,0.1848
2006-11-09,0.2768
2006-11-10,-0.092
2006-11-13,-0.5525
2006-11-14,0.5556
2006-11-15,-0.4604
2006-11-16,-1.8500999999999999
2006-11-17,1.7908
2006-11-20,-0.7407
2006-11-21,6.5299
2006-11-22,0.8757
2006-11-24,2.7778
2006-11-27,-4.3074
2006-11-28,-1.5004
2006-11-29,-0.6272
2006-11-30,4.3282
2006-12-01,4.5808
2006-12-04,0.2479
2006-12-05,7.0899
2006-12-06,2.0015
2006-12-07,-3.0943
2006-12-08,0.0779
2006-12-11,2.2568
2006-12-12,-1.2938
2006-12-13,1.8504
2006-12-14,-0.1514
2006-12-15,0.834
2006-12-18,-0.1504
2006-12-19,0.1506
2006-12-20,-2.1805
2006-12-21,1.6909999999999998
2006-12-22,0.1512
2006-12-26,-0.7547
2006-12-27,-0.076
2006-12-28,-0.3044
2006-12-29,0.6107
2007-01-03,0.9105
2007-01-04,0.9774
2007-01-05,2.0849
2007-01-08,0.6565
2007-01-09,0.0362
2007-01-10,-0.6157
2007-01-11,0.5831
2007-01-12,0.5797
2007-01-16,0.2161
2007-01-17,3.8821
2007-01-18,-0.2076
2007-01-19,-0.1387
2007-01-22,-0.7639
2007-01-23,0.7698
2007-01-24,4.6528
2007-01-25,0.1991
2007-01-26,0.8609
2007-01-29,0.7879
2007-01-30,-0.1954
2007-01-31,-0.9138
2007-02-01,3.1621
2007-02-02,0.3831
2007-02-05,-0.4453
2007-02-06,-0.4473
2007-02-07,0.2567
2007-02-08,-0.9603
2007-02-09,0.1293
2007-02-12,1.5493999999999999
2007-02-13,0.6357
2007-02-14,-0.1895
2007-02-15,6.0127
2007-02-16,4.5969999999999995
2007-02-20,3.5959
2007-02-21,2.6997
2007-02-22,0.5365
2007-02-23,1.5474999999999999
2007-02-26,1.4714
2007-02-27,-5.0751
2007-02-28,-1.6912
2007-03-01,-1.2209
2007-03-02,-1.7978
2007-03-05,-5.3204
2007-03-06,7.3716
2007-03-07,1.8571
