ticker,FMFP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-04-16,7324.2424
2004-04-23,-2.0408
2004-05-25,2.0833
2005-04-12,2.6273
2005-10-20,22.9591
2005-11-04,0.0
2006-01-26,0.3289
2006-03-27,0.0
2006-07-10,0.0
2008-02-12,1.9385
2008-06-30,-5.7851
2008-07-11,7.0175
2008-08-11,-5.7377
2009-07-01,-29.078
2009-07-10,3.75
2009-11-11,-2.9126
2009-11-23,3.75
2011-04-14,21.5498
2011-07-29,28.0705
2012-07-26,-2.3898
2012-07-27,0.0
2012-08-09,-8.6207
2012-09-07,11.3208
2012-11-28,2.424
2013-05-09,1.9888
2013-05-10,6.6667
2013-05-29,0.0
2014-02-18,31.284
2014-03-20,-1.8646
2014-04-14,0.0
2014-04-17,0.0
2014-09-23,-16.498
2014-11-13,20.4545
2015-06-23,-16.2803
2015-08-14,27.6923
2015-08-18,-21.6867
2016-01-26,0.5025
2016-05-19,0.0
2016-05-31,-2.3622
2016-06-01,1.6129
2016-06-02,0.7937
2016-06-13,0.0
2016-06-29,-0.7619
2016-08-01,27.9591
2016-08-12,0.0
2016-08-31,-5.0
2016-09-12,-0.6579
2016-09-23,-9.3333
2016-09-26,-3.6765
2016-09-27,0.0
2016-11-14,0.0
2016-11-16,2.2901
2017-01-04,14.7219
2017-01-06,0.0
2017-01-09,0.0
2017-03-07,-12.7536
2017-03-08,7.2184
2017-03-21,-6.0993
2017-04-05,0.0
2017-04-07,5.7402
2017-04-25,8.4286
2017-04-28,0.0
2017-05-02,-2.5033
2017-06-14,4.0541
2017-06-15,0.6799
2017-06-19,3.8961
2017-06-21,0.0
2017-06-22,0.0
2017-06-26,-1.25
2017-07-06,-0.5063
2017-07-13,17.0483
2017-07-14,-13.913
2017-07-28,26.2626
2017-08-11,-20.0
2017-10-02,3.1706
2017-11-22,12.1951
2017-12-11,-6.5217
2017-12-29,-1.2926
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-25,-1.9048
2018-02-15,1.9417
2018-02-27,18.5714
2018-03-12,-17.6707
2018-03-13,21.4634
2018-03-22,-18.2149
2018-03-27,1.7284000000000002
2018-04-02,0.7282
2018-04-04,1.9277
2018-04-10,2.8369
2018-05-11,21.8391
2018-07-16,-10.8498
2018-08-08,0.0
2018-09-28,0.5993
2018-10-02,0.0
2018-11-09,21.2766
2018-12-10,-17.5439
2018-12-18,5.4217
2018-12-28,0.0
2018-12-31,-6.1224
2019-01-02,-6.3043
2019-01-03,-0.1392
2019-01-11,5.7156
2019-01-14,3.7363
2019-01-15,20.7627
2019-02-05,0.0
2019-03-05,-3.5088
2019-03-20,0.5117
2019-03-28,-5.4545
2019-04-02,5.7692
2019-04-22,-5.4545
2019-05-01,3.8462
2019-09-10,-6.9248
2019-09-18,-4.2
2019-10-01,0.336
2019-10-09,2.5115
2019-10-17,-5.2675
2019-10-22,3.4483
2019-11-18,-1.6667
2019-12-06,5.5085
2019-12-11,-3.6145
2019-12-17,-6.8689
2020-01-15,0.0452
2020-01-30,5.5631
2020-03-09,-18.5947
2020-03-23,-9.8621
2020-03-25,-5.8824
2020-05-05,0.0
2020-06-01,1.5625
2020-06-24,-0.6828
2020-06-25,0.0
2020-07-20,-6.25
2020-07-23,0.6667
