ticker,MLCG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-13,1.0
2013-06-14,1.9802
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,6.7961
2013-06-24,4.5455
2013-06-26,0.0
2013-06-27,-0.8696
2013-06-28,0.0
2013-07-01,0.0
2013-07-02,5.2632
2013-07-03,0.0
2013-07-08,1.6667
2013-07-09,-13.9344
2013-07-12,38.0952
2013-07-24,-31.0345
2013-07-25,-58.0
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,2.3810000000000002
2013-08-01,0.0
2013-08-02,-3.7936
2013-08-05,3.9432
2013-08-06,4.6512
2013-08-08,0.0
2013-08-09,2.2222
2013-08-12,0.0
2013-08-13,0.0
2013-08-14,0.0
2013-08-16,0.0
2013-08-19,0.0
2013-08-20,0.0
2013-08-21,0.0
2013-08-22,0.0
2013-08-23,0.0
2013-08-27,0.0
2013-08-28,0.0
2013-08-29,0.0
2013-08-30,8.6957
2013-09-03,50.0
2013-09-04,0.0
2013-09-09,-85.5333
2013-09-10,-9.6774
2013-09-11,-10.2041
2013-09-12,-14.630700000000001
2013-09-13,-0.1664
2013-09-16,6.4167
2013-09-17,-24.9804
2013-09-18,-0.1044
2013-09-19,0.0
2013-09-20,-24.7649
2013-09-23,11.1111
2013-09-24,34.0
2013-09-25,-26.8657
2013-09-26,19.1327
2013-09-27,-2.6767
2013-09-30,-0.33
2013-10-01,-12.9139
2013-10-02,0.0
2013-10-03,0.0
2013-10-04,21.673000000000002
2013-10-07,-2.1875
2013-10-08,-0.3195
2013-10-09,2.5641
2013-10-10,-20.0
2013-10-11,24.7396
2013-10-14,-36.2213
2013-10-15,30.6056
2013-10-16,0.0
2013-10-17,0.0
2013-10-18,30.0752
2013-10-21,30.0578
2013-10-22,6.6667
2013-10-23,-5.5556
2013-10-24,5.8824
2013-10-25,0.0
2013-10-28,-0.2083
2013-10-29,-11.0647
2013-10-30,12.5196
2013-10-31,0.0
2013-11-01,-32.128
2013-11-04,-1.6393
2013-11-05,50.0
2013-11-06,-32.2222
2013-11-07,6.5574
2013-11-08,7.6923
2013-11-11,0.0
2013-11-12,-14.2857
2013-11-13,41.6667
2013-11-14,-3.5294
2013-11-15,-31.7073
2013-11-18,-28.3482
2013-11-19,21.3396
2013-11-20,84.5956
2013-11-22,-44.3672
2013-11-25,-0.625
2013-11-27,-0.3774
2013-11-29,-0.3788
2013-12-02,-21.2928
2013-12-03,28.0193
