ticker,ALRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-29,-28.0
2017-06-30,3.2407
2017-07-03,13.0045
2017-07-05,-2.3016
2017-07-06,8.0422
2017-07-07,3.7594
2017-07-10,-2.5362
2017-07-11,1.71
2017-07-12,-1.8275000000000001
2017-07-13,0.0
2017-07-14,1.1914
2017-07-17,-4.7093
2017-07-18,0.3861
2017-07-19,0.0
2017-07-20,-0.6154
2017-07-21,-1.0836
2017-07-24,-1.4085
2017-07-25,3.1746
2017-07-26,-0.6923
2017-07-27,1.5492
2017-07-28,0.6102
2017-07-31,-2.9568
2017-08-01,-2.5
2017-08-02,2.0032
2017-08-03,-4.4776
2017-08-04,-0.1645
2017-08-07,0.1647
2017-08-08,1.0691
2017-08-09,5.6143
2017-08-10,-3.0817
2017-08-11,-2.6231999999999998
2017-08-14,2.5305999999999997
2017-08-15,-3.5827999999999998
2017-08-16,0.8258
2017-08-17,-2.6208
2017-08-18,2.6071999999999997
2017-08-21,-1.6393
2017-08-22,1.5833
2017-08-23,-1.7227000000000001
2017-08-24,1.419
2017-08-25,-6.0082
2017-08-28,5.0788
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,-2.8333
2017-09-01,1.2006999999999999
2017-09-05,2.9661
2017-09-06,5.5144
2017-09-07,9.6724
2017-09-08,-0.4267
2017-09-11,-11.5714
2017-09-12,8.4006
2017-09-13,-11.848
2017-09-14,-1.6061
2017-09-15,-1.8900000000000001
2017-09-18,1.4886
2017-09-19,1.3805
2017-09-20,2.9787
2017-09-21,0.1653
2017-09-22,5.5281
2017-09-25,-7.0367
2017-09-26,1.6821000000000002
2017-09-27,4.9628
2017-09-28,-3.6249000000000002
2017-09-29,9.4031
2017-10-02,7.8475
2017-10-03,-0.0693
2017-10-04,3.3981
2017-10-05,-2.3474
2017-10-06,0.3434
2017-10-09,0.1369
2017-10-10,1.162
2017-10-11,-4.5946
2017-10-12,2.762
2017-10-13,-2.2743
2017-10-16,-0.7757
2017-10-17,0.2132
2017-10-18,0.4965
2017-10-19,-3.458
2017-10-20,-0.731
2017-10-23,-1.4727999999999999
2017-10-24,-1.0463
2017-10-25,-0.4532
2017-10-26,0.3035
2017-10-27,-6.5053
2017-10-30,-1.8608
2017-10-31,-0.742
2017-11-01,9.5515
2017-11-02,-7.2024
2017-11-03,3.5131
2017-11-06,-0.0789
2017-11-07,-6.2401
2017-11-08,0.0842
2017-11-09,-2.1044
2017-11-10,-0.4299
2017-11-13,1.7271
