ticker,ZBRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7393
2000-01-04,-1.4428
2000-01-05,1.9144
2000-01-06,-5.4144
2000-01-07,-1.1098
2000-01-10,3.3668
2000-01-11,0.6857
2000-01-12,-2.4972
2000-01-13,0.3492
2000-01-14,11.2529
2000-01-18,-0.6257
2000-01-19,-0.6296
2000-01-20,3.4847
2000-01-21,2.6531000000000002
2000-01-24,0.2982
2000-01-25,-1.5362
2000-01-26,-0.3523
2000-01-27,2.0202
2000-01-28,-1.6832
2000-01-31,-4.6324
2000-02-01,0.6336
2000-02-02,-0.787
2000-02-03,9.9947
2000-02-04,1.8269
2000-02-07,1.6053
2000-02-08,1.2082
2000-02-09,-0.9183
2000-02-10,-0.1854
2000-02-11,-3.0641
2000-02-14,2.251
2000-02-15,0.2342
2000-02-16,4.1121
2000-02-17,-12.9264
2000-02-18,-0.4124
2000-02-22,-6.5217
2000-02-23,10.9635
2000-02-24,1.1976
2000-02-25,-0.5424
2000-02-28,1.1403
2000-02-29,4.4118
2000-03-01,0.6573
2000-03-02,-1.3993
2000-03-03,0.9461
2000-03-06,-0.2812
2000-03-07,-0.5639
2000-03-08,-3.0246
2000-03-09,0.0
2000-03-10,-1.8519
2000-03-13,-3.6743
2000-03-14,-0.4124
2000-03-15,-6.3147
2000-03-16,-17.7901
2000-03-17,-5.7124
2000-03-20,2.6372
2000-03-21,10.3472
2000-03-22,-8.1183
2000-03-23,1.0959
2000-03-24,11.5176
2000-03-27,2.0656
2000-03-28,-2.7381
2000-03-29,-1.9584000000000001
2000-03-30,-3.6205
2000-03-31,3.6269
2000-04-03,-4.125
2000-04-04,-1.1734
2000-04-05,3.6939
2000-04-06,7.888
2000-04-07,2.1226
2000-04-10,-7.1594
2000-04-11,-2.4876
2000-04-12,-2.9337
2000-04-13,0.1314
2000-04-14,-3.0184
2000-04-17,4.0595
2000-04-18,3.7711
2000-04-19,-6.8922
2000-04-20,17.4966
2000-04-24,-0.3436
2000-04-25,6.3218
2000-04-26,-5.6216
2000-04-27,3.7801
2000-04-28,0.6623
2000-05-01,0.6579
2000-05-02,-8.6057
2000-05-03,0.9535
2000-05-04,-0.1181
2000-05-05,3.1915
2000-05-08,-7.6747
2000-05-09,-3.7221
2000-05-10,-1.8041
2000-05-11,10.2362
2000-05-12,0.7143
2000-05-15,-3.3097
2000-05-16,-0.8557
2000-05-17,-0.9864
2000-05-18,-0.6227
2000-05-19,-3.6341
2000-05-22,5.0715
