ticker,NGUGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-14,166.6667
2000-08-23,-56.25
2000-09-06,-14.2857
2001-12-21,-66.6667
2002-12-30,250.0
2003-02-20,92.8571
2003-04-02,-25.9259
2003-09-03,50.0
2003-09-15,80.0
2003-09-16,3.7037
2003-09-17,3.5714
2003-09-18,20.6897
2003-09-19,20.0
2003-09-22,23.8095
2003-09-23,-3.8462
2003-09-24,-10.0
2003-09-25,0.0
2003-09-26,-23.7778
2003-09-29,-0.2915
2003-09-30,11.1111
2003-10-01,-10.0
2003-10-02,1.7544
2003-10-03,3.4483
2003-10-07,13.8889
2003-10-08,-7.3171
2003-10-10,10.526299999999999
2003-10-14,28.5714
2003-10-15,14.8148
2003-10-16,16.129
2003-10-17,-2.7778
2003-10-20,2.8571
2003-10-21,-8.3333
2003-10-22,-3.0303
2003-10-23,-4.6875
2003-10-24,-8.1967
2003-10-27,7.1429
2003-10-29,13.3333
2003-10-30,10.2941
2003-10-31,9.3333
2003-11-03,-12.1951
2003-11-05,15.2778
2003-11-06,-15.6627
2003-11-10,-20.0
2003-11-11,14.2857
2003-11-12,3.125
2003-11-13,12.1212
2003-11-14,-1.3514
2003-11-17,-6.8493
2003-11-18,2.9412000000000003
2003-11-19,5.7143
2003-11-20,9.4595
2003-11-21,6.1728
2003-11-24,8.1395
2003-11-25,0.0
2003-11-26,3.2258
2003-12-01,-6.25
2003-12-02,11.1111
2003-12-03,0.0
2003-12-04,4.0
2003-12-05,-5.7692
2003-12-08,-14.2857
2003-12-09,15.4762
2003-12-10,-1.0309
2003-12-11,-6.25
2003-12-12,-4.4444
2003-12-15,0.0
2003-12-17,-5.814
2003-12-18,0.0
2003-12-19,8.642
2003-12-22,4.5455
2003-12-23,-3.2609
2003-12-24,-0.4494
2003-12-29,19.6388
2003-12-30,12.2642
2003-12-31,0.8403
2004-01-02,5.0
2004-01-05,4.7619
2004-01-06,-18.1818
2004-01-07,7.4074
2004-01-08,1.7241
2004-01-09,4.2373
2004-01-12,6.5041
2004-01-13,2.2901
2004-01-14,-8.209
2004-01-15,-10.5691
2004-01-16,-9.0909
2004-01-20,8.0
2004-01-21,-3.7037
2004-01-22,-13.461500000000001
2004-01-23,16.6667
2004-01-26,0.0
2004-01-27,9.5238
2004-01-28,0.8696
2004-01-29,-17.2414
2004-02-02,-4.1667
2004-02-03,-7.3913
2004-02-06,18.5446
2004-02-09,0.0
2004-02-10,0.0
2004-02-11,12.8713
2004-02-12,0.0
