ticker,UETH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-08-02,-16.4103
2012-02-08,16.5644
2013-08-08,-4.7368
2013-08-20,2.2099
2013-09-03,4.8649000000000004
2013-09-17,3.0928
2013-12-20,10.0
2013-12-30,2.2727
2014-04-11,6.6667
2014-04-15,0.0
2014-05-21,25.0
2014-06-02,16.6667
2014-06-16,2.8571
2014-09-08,11.1111
2014-10-23,0.0
2014-11-19,3.0
2015-02-23,-2.9126
2015-07-06,0.0
2016-12-16,22.5
2016-12-19,-1.8367
2017-07-18,14.3451
2017-08-01,10.9091
2018-10-09,-11.4754
2018-10-29,0.0
2018-12-06,3.7037
