ticker,ANTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-01,0.1429
2010-03-02,1.9971
2010-03-03,-0.4196
2010-03-04,-0.5618
2010-03-05,-1.1299
2010-03-08,0.5714
2010-03-09,-0.5664
2010-03-10,1.4268
2010-03-11,-0.2817
2010-03-12,0.2825
2010-03-15,0.5634
2010-03-16,-1.1204
2010-03-17,-0.8499
2010-03-18,0.5714
2010-03-19,0.7102
2010-03-22,-1.2694
2010-03-23,0.5714
2010-03-24,-0.142
2010-03-25,0.0
2010-03-26,-0.4267
2010-03-29,0.1429
2010-03-30,-1.8545
2010-03-31,1.5988
2010-04-01,2.289
2010-04-05,-0.2797
2010-04-06,-2.805
2010-04-07,20.9235
2010-04-08,-12.0525
2010-04-09,-5.1577
2010-04-12,-4.1471
2010-04-13,-0.2985
2010-04-14,-1.7964
2010-04-15,1.8293
2010-04-16,4.1916
2010-04-19,-2.5862
2010-04-20,4.7198
2010-04-21,0.1408
2010-04-22,-0.1406
2010-04-23,-0.1408
2010-04-26,-1.2694
2010-04-27,0.1429
2010-04-28,0.5706
2010-04-29,-0.4255
2010-04-30,0.7123
2010-05-03,-0.2829
2010-05-04,0.0
2010-05-05,0.2837
2010-05-06,-0.9901
2010-05-07,-3.1429
2010-05-10,3.2448
2010-05-11,-0.1429
2010-05-12,-0.7153
2010-05-13,0.8646
2010-05-14,-1.4285999999999999
2010-05-17,1.4493
2010-05-18,0.0
2010-05-19,-1.7143000000000002
2010-05-20,-0.436
2010-05-21,-3.6496
2010-05-24,-4.3939
2010-05-25,-4.4374
2010-05-26,-2.1559
2010-05-27,1.7797
2010-05-28,-0.9159
2010-06-01,-1.5126
2010-06-02,-3.8396
2010-06-03,2.7507
2010-06-04,-2.418
2010-06-07,2.8319
2010-06-08,3.2702
2010-06-09,1.3333
2010-06-10,5.2632
2010-06-11,0.0
2010-06-14,-0.4688
2010-06-15,2.5118
2010-06-16,2.9096
2010-06-17,-6.994
2010-06-18,-3.52
2010-06-21,2.6534
2010-06-22,-1.6155
2010-06-23,-1.8062
2010-06-24,5.3512
2010-06-25,4.127
2010-06-28,-3.3537
2010-06-29,-13.2492
2010-06-30,-2.5455
2010-07-01,0.5597
2010-07-02,2.0408
2010-07-06,2.0
2010-07-07,-3.3868
2010-07-08,0.1845
2010-07-09,-4.7882
2010-07-12,-4.4487
2010-07-13,4.251
2010-07-14,-2.1359
2010-07-15,-4.3651
2010-07-16,-14.7303
2010-07-19,-2.1898
2010-07-20,-1.4925
