ticker,VCTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-08,-10.7692
2018-02-09,6.8103
2018-02-12,0.0807
2018-02-13,3.1452
2018-02-14,0.0782
2018-02-15,1.9531
2018-02-16,0.0
2018-02-20,-0.4598
2018-02-21,-0.4619
2018-02-22,0.5414
2018-02-23,0.0
2018-02-26,2.0
2018-02-27,-1.9607999999999999
2018-02-28,-0.3846
2018-03-01,1.0039
2018-03-02,1.682
2018-03-05,-3.8346
2018-03-06,0.4691
2018-03-07,1.1673
2018-03-08,0.0
2018-03-09,0.0
2018-03-12,-2.6154
2018-03-13,-1.8957000000000002
2018-03-14,-0.7246
2018-03-15,-2.5953
2018-03-16,-0.5828
2018-03-19,-0.5863
2018-03-20,-1.6007
2018-03-21,1.2842
2018-03-22,1.437
2018-03-23,-0.6667
2018-03-26,2.9362
2018-03-27,1.2225
2018-03-28,-0.6441
2018-03-29,-0.3241
2018-04-02,-2.5202999999999998
2018-04-03,-3.8365
2018-04-04,-2.8621
2018-04-05,0.3571
2018-04-06,-3.5587
2018-04-09,-1.7528000000000001
2018-04-10,2.1596
2018-04-11,-1.7463
2018-04-12,-0.2806
2018-04-13,0.7505
2018-04-16,-0.0931
2018-04-17,1.4910999999999999
2018-04-18,-2.9385
2018-04-19,0.2838
2018-04-20,-1.3208
2018-04-23,1.2428
2018-04-24,0.0944
2018-04-25,0.0943
2018-04-26,-1.0368
2018-04-27,0.0952
2018-04-30,5.2331
2018-05-01,0.0
2018-05-02,-1.9891999999999999
2018-05-03,0.1845
2018-05-04,1.2891
2018-05-07,-1.3636
2018-05-08,-2.9493
2018-05-09,2.3742
2018-05-10,-1.577
2018-05-11,-2.3563
2018-05-14,-1.3514
2018-05-15,-0.3914
2018-05-16,-1.1788
2018-05-17,0.497
2018-05-18,-0.1978
2018-05-21,2.1804
2018-05-22,0.8729
2018-05-23,2.4038
2018-05-24,3.3803
2018-05-25,-1.5441
2018-05-29,-1.7528000000000001
2018-05-30,4.1315
2018-05-31,0.9919
2018-06-01,4.1071
2018-06-04,0.6003
2018-06-05,-2.4723
2018-06-06,-3.4965
2018-06-07,0.4529
2018-06-08,2.615
2018-06-11,-1.3181
2018-06-12,0.0
2018-06-13,-5.5209
2018-06-14,2.262
2018-06-15,-3.9631
2018-06-18,1.0557
2018-06-19,2.5641
2018-06-20,-0.6481
2018-06-21,1.3048
2018-06-22,-1.3799000000000001
2018-06-25,0.1866
2018-06-26,-4.0968
2018-06-27,-2.233
