ticker,CABB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-29,2.9703
2006-11-03,0.4808
2006-11-07,0.4785
2006-11-16,0.4762
2006-11-24,1.8957000000000002
2006-12-01,9.3023
2006-12-06,8.5106
2006-12-29,0.0
2007-01-19,-16.4706
2007-01-26,5.6338
2007-01-30,15.5556
2007-01-31,0.0
2007-02-01,-8.461500000000001
2007-02-08,1.2605
2007-02-09,1.4938
2007-02-13,-1.063
2007-02-14,-0.8264
2007-02-15,1.9167
2007-02-16,0.0
2007-02-20,0.0
2007-02-22,0.0
2007-02-23,-1.8806
2007-02-27,-0.4167
2007-02-28,-0.4184
2007-03-26,1.6806999999999999
2007-04-04,1.2397
2007-05-04,-6.1224
2007-05-07,0.0
2007-05-11,0.0
2007-05-17,1.7391
2007-05-18,-1.2821
2007-05-22,-2.5974
2007-05-23,-2.2222
2007-06-05,4.5455
2007-06-26,0.0
2007-07-13,-4.3478
2007-07-20,0.9091
2007-07-27,6.7568
2007-08-08,-5.0633
2007-08-09,-2.2222
2007-08-14,2.2727
2007-08-16,-2.2222
2007-09-24,0.0
2007-09-25,-2.2727
2007-10-02,2.3256
2007-10-04,0.0
2007-10-08,0.9091
2007-12-07,4.5045
2007-12-11,1.2931
2007-12-14,-7.6596
2007-12-17,0.9217
2008-01-04,-1.7351999999999999
2008-01-07,0.3717
2008-01-11,-0.9259
2008-01-25,1.4019
2008-02-07,-4.1475
2008-02-13,-3.8462
2008-02-20,-7.4
2008-02-21,2.5918
2008-02-28,9.473700000000001
2008-03-03,-13.461500000000001
2008-03-11,-7.2222
2008-03-25,15.5689
2008-03-31,-11.9171
2008-04-15,2.3529
2008-04-18,-2.2989
2008-04-24,0.0
2008-05-15,5.8824
2008-05-16,2.7778
2008-05-28,5.4054
2008-05-29,-2.5641
2008-05-30,0.0
2008-06-04,0.0
2008-06-05,-2.6316
2008-06-10,0.0
2008-06-11,-2.7027
2008-06-12,0.0
2008-06-13,5.5556
2008-06-20,9.2632
2008-07-01,0.1927
2008-07-16,0.0
2008-07-28,-2.4038
2008-08-14,-1.0836999999999999
2008-08-15,-2.8884
2008-08-19,4.1026
2008-09-04,-0.9852
2008-09-22,-7.9602
2008-09-25,8.1081
2008-10-17,-10.0
2008-11-07,0.0
2008-11-14,-5.5556
2008-11-19,-11.7647
2009-03-26,-18.6667
2009-03-27,0.0
2009-04-24,22.9508
2009-06-16,-40.0
2009-06-17,0.0
2009-06-18,10.0
2009-07-02,5.0505
2009-07-14,0.0
