ticker,LAACZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,2.8169
2000-01-12,0.0
2000-01-18,-2.4657999999999998
2000-02-04,-1.6854
2000-02-16,4.2857
2000-03-15,4.2391
2000-04-28,-4.0
2000-05-04,-1.3889
2000-05-10,1.6901000000000002
2000-07-14,1.7569
2000-09-07,1.0512
2000-09-21,0.0
2000-11-01,1.8031000000000001
2000-12-08,3.5422000000000002
2000-12-15,-2.068
2001-01-05,1.9074
2001-01-12,-1.0695000000000001
2001-01-25,4.0541
2001-05-10,5.3325
2001-05-14,0.8233
2001-07-31,2.5126
2001-08-24,15.4562
2001-12-05,5.8065
2001-12-06,-0.2033
2001-12-07,0.2037
2002-01-25,2.7277
2002-02-06,0.2004
2002-06-20,5.6876999999999995
2002-09-17,3.4826
2003-05-08,2.5845000000000002
2003-05-09,1.7442
2003-06-27,1.7442
2003-09-22,3.5368
2005-02-11,30.5242
2005-02-18,1.5748
2005-06-09,32.7469
2005-06-27,14.4578
2005-07-06,-0.5263
2005-07-11,2.1164
2005-08-29,15.3644
2005-08-30,-4.5455
2005-08-31,0.9524
2005-09-07,5.6604
2005-09-08,4.9107
2005-09-13,0.0
2005-09-14,0.0
2005-10-26,-3.4043
2005-11-02,0.2643
2005-11-03,0.1757
2005-11-16,2.193
2006-03-24,12.2807
2006-04-25,8.5938
2006-05-03,0.0
2006-06-14,3.0853
2006-07-28,5.9859
2006-09-07,-1.1724999999999999
2006-09-20,1.6949
2006-11-21,0.0
2007-02-13,2.59
2007-04-05,1.8182
2007-05-16,-0.0983
2007-06-04,0.0
2007-06-08,0.3279
2007-06-13,0.6536
2007-10-01,1.5394999999999999
2007-10-12,1.1484
2007-10-15,-0.4975
2007-10-19,0.0
2008-04-25,-4.7619
2008-04-28,0.0
2008-05-01,0.0
2008-05-06,0.0
2008-05-07,-0.3425
2008-05-08,-0.3436
2008-05-16,-2.5409
2008-05-20,0.7143
2008-05-23,0.0
2008-06-06,-0.7092
2008-07-18,-0.3571
2008-07-22,0.3584
2008-07-29,-1.7856999999999998
2008-08-05,1.8182
2008-08-06,0.3571
2008-08-08,-2.1352
2008-08-22,0.6243
2008-09-15,-1.8248
2008-09-18,0.0
2008-10-01,0.0743
2008-10-02,-0.0743
2008-10-06,-2.2305
2008-10-07,-1.1407
2008-10-14,0.0
2008-10-15,-5.7692
2008-10-16,-2.0408
2008-10-17,-2.5
2008-10-20,-7.6923
2008-10-22,-0.463
2008-10-24,11.627
2008-10-28,0.0
