ticker,KODK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-24,18.0412
2013-09-25,0.655
2013-09-26,6.2907
2013-09-27,4.0816
2013-09-30,-1.9607999999999999
2013-10-01,2.6
2013-10-02,0.0
2013-10-03,9.1618
2013-10-04,0.1786
2013-10-07,3.3868
2013-10-08,-3.4483
2013-10-09,-3.5714
2013-10-10,0.0
2013-10-11,0.0
2013-10-14,-5.5556
2013-10-15,1.9607999999999999
2013-10-16,-0.9615
2013-10-17,-0.7767
2013-10-18,-1.9569
2013-10-21,-2.1955999999999998
2013-10-22,-4.0816
2013-10-23,-1.0638
2013-10-24,-0.6022
2013-10-25,-1.3414
2013-10-28,-0.2193
2013-10-29,-0.5714
2013-10-30,9.6375
2013-10-31,4.8387
2013-11-01,0.9615
2013-11-04,2.4762
2013-11-05,0.0
2013-11-06,-3.3457
2013-11-07,-3.0288
2013-11-08,0.1091
2013-11-11,0.6339
2013-11-12,-2.3622
2013-11-13,-0.2419
2013-11-14,0.0
2013-11-15,-1.1722
2013-11-18,-2.8221
2013-11-19,-0.2525
2013-11-20,-1.0127
2013-11-21,-0.9804
2013-11-22,-0.904
2013-11-25,0.7819
2013-11-26,6.1207
2013-11-27,2.9651
2013-11-29,4.4576
2013-12-02,1.8127
2013-12-03,-0.2596
2013-12-04,2.8635
2013-12-05,-2.3861
2013-12-06,-1.8148
2013-12-09,-0.9053
2013-12-10,4.4157
2013-12-11,0.9843
2013-12-12,1.7690000000000001
2013-12-13,3.9375999999999998
2013-12-16,10.0683
2013-12-17,-0.4651
2013-12-18,2.7414
2013-12-19,2.8199
2013-12-20,-3.0964
2013-12-23,-2.4346
2013-12-24,0.9046
2013-12-26,3.3076
2013-12-27,0.778
2013-12-30,-0.8017
2013-12-31,3.8911
2014-01-02,-1.9879
2014-01-03,-3.2922000000000002
2014-01-06,4.1641
2014-01-07,5.9235
2014-01-08,2.4793
2014-01-09,0.0
2014-01-10,-0.8602
2014-01-13,-6.4534
2014-01-14,-0.7246
2014-01-15,-3.6788
2014-01-16,-2.0915
2014-01-17,0.1858
2014-01-21,0.2472
2014-01-22,-0.1541
2014-01-23,-1.3276
2014-01-24,-5.194
2014-01-27,-1.1551
2014-01-28,-0.2003
2014-01-29,-0.736
2014-01-30,-1.6852
2014-01-31,-3.4282
2014-02-03,-0.6035
2014-02-04,1.7143000000000002
2014-02-05,-0.0702
2014-02-06,0.1757
2014-02-07,1.5433
2014-02-10,-0.1209
2014-02-11,0.9856
