ticker,CNBB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-06,17.9487
2017-11-16,2.6087
2018-01-02,10.9914
2018-01-10,4.0777
2018-01-16,0.0
2018-01-18,4.4776
2018-01-19,0.0357
2018-01-24,8.8897
2018-01-31,3.2787
2018-02-06,0.0
2018-02-12,0.0
2018-02-16,7.9365
2018-02-21,-5.8824
2018-02-22,-1.2497
2018-02-26,-0.0003
2018-02-28,0.3165
2018-03-01,0.0
2018-03-05,0.0
2018-03-06,-0.1577
2018-03-07,0.0
2018-03-09,0.0
2018-03-13,0.316
2018-03-14,0.0
2018-03-15,-0.1575
2018-03-19,0.0
2018-03-21,0.0
2018-03-23,0.3155
2018-03-27,0.9434
2018-03-29,0.3764
2018-04-04,0.3125
2018-04-06,2.0249
2018-04-09,-1.9847000000000001
2018-04-12,-0.2492
2018-04-13,1.8114
2018-04-18,-1.6871
2018-04-19,2.1841
2018-04-20,-2.1374
2018-04-23,1.4041000000000001
2018-04-24,-0.7692
2018-04-25,0.0
2018-04-26,0.7442
2018-04-27,0.0308
2018-04-30,-1.0462
2018-05-01,0.0
2018-05-02,0.0
2018-05-04,0.0
2018-05-07,1.0572
2018-05-08,-1.9691999999999998
2018-05-14,-1.9083
2018-05-16,1.5935000000000001
2018-05-18,-1.5748
2018-05-24,0.0
2018-06-04,-4.8
2018-06-05,4.7059
2018-06-11,1.1236
2018-06-12,0.3175
2018-06-13,-5.8544
2018-06-15,6.5546
2018-06-20,0.2524
2018-06-27,0.6923
2018-06-28,0.6875
2018-07-16,1.5625
2018-07-19,-0.7692
2018-07-20,0.7752
2018-07-23,15.3846
2018-07-25,-0.0267
2018-07-27,-3.9744
2018-07-31,-5.5556
2018-08-03,-2.9412000000000003
2018-08-06,-1.5152
2018-08-08,1.5385
2018-08-09,-2.7273
2018-08-10,0.0623
2018-08-17,2.7086
2018-08-20,0.0
2018-08-27,-2.6978
2018-08-30,2.0249
2018-09-04,-2.1374
2018-09-10,0.0
2018-09-11,1.4041000000000001
2018-09-12,-0.0308
2018-09-13,-1.2004
2018-09-14,-0.9346
2018-09-17,0.3774
2018-09-19,2.287
2018-09-20,0.3063
2018-09-27,-1.4656
2018-10-01,0.0312
2018-10-02,0.4367
2018-10-03,0.1553
2018-10-08,0.0
2018-10-09,0.0
2018-10-11,0.155
2018-10-15,0.5882
2018-10-16,0.0308
2018-10-17,1.5385
2018-10-19,-1.5152
2018-10-23,0.0
2018-10-24,-2.0
2018-10-25,2.0408
