ticker,INLB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-01-27,0.0
2012-01-30,5.7143
2012-01-31,8.1081
2012-02-01,5.0
2012-02-02,2.3810000000000002
2012-02-03,4.0189
2012-02-06,4.5204
2012-02-07,1.6042999999999998
2012-02-08,0.0
2012-02-09,1.5789
2012-02-10,1.0363
2012-02-13,2.0513
2012-02-14,0.5025
2012-02-15,-2.5
2012-02-16,6.6667
2012-02-17,-1.4423
2012-02-21,4.878
2012-02-22,1.8605
2012-02-23,0.4566
2012-02-24,0.9091
2012-02-27,0.4505
2012-02-28,0.4484
2012-02-29,0.4464
2012-03-01,0.8889
2012-03-02,-0.4405
2012-03-05,-0.885
2012-03-06,0.8929
2012-03-07,0.0
2012-03-08,0.0
2012-03-09,0.6195
2012-03-12,4.2216
2012-03-13,0.4219
2012-03-14,1.2605
2012-03-15,1.2448
2012-03-16,-0.8197
2012-03-19,-0.8264
2012-03-20,0.0
2012-03-21,-2.0833
2012-03-22,1.7021
2012-03-23,0.8368
2012-03-26,-2.4896
2012-03-27,2.1277
2012-03-28,0.0
2012-03-29,0.0
2012-03-30,0.0
2012-04-02,1.25
2012-04-03,-1.2346
2012-04-04,2.0833
2012-04-05,-0.8163
2012-04-09,-1.2346
2012-04-10,0.0
2012-04-11,0.0
2012-04-12,-2.0833
2012-04-13,3.8298
2012-04-16,0.0
2012-04-17,-1.6393
2012-04-18,0.8333
2012-04-19,0.8264
2012-04-20,2.459
2012-04-23,-2.0
2012-04-24,-2.0408
2012-04-25,-2.9167
2012-04-26,-2.1459
2012-04-27,6.1404
2012-04-30,-1.2397
2012-05-01,1.2551999999999999
2012-05-02,-2.8926
2012-05-03,0.0
2012-05-07,0.0
2012-05-08,-2.1277
2012-05-09,-2.1739
2012-05-10,-8.8889
2012-05-11,-2.439
2012-05-16,-20.0
2012-05-17,-25.625
2012-05-18,26.0504
2012-05-21,-16.6667
2012-05-22,-12.0
2012-05-23,-10.0
2012-05-24,46.4646
2012-05-25,-0.6897
2012-05-29,-23.6111
2012-05-31,31.8182
2012-06-01,2.7586
2012-06-04,-32.2148
2012-06-05,9.901
2012-06-06,8.1081
2012-06-07,-14.1667
2012-06-08,1.9417
2012-06-11,-3.8095
2012-06-15,18.8119
2012-06-19,33.3333
2012-06-20,-0.625
2012-06-22,-11.9497
2012-06-26,-0.7143
2012-06-28,-26.6187
2012-06-29,3.9215999999999998
2012-07-02,8.4906
2012-07-03,0.0
2012-07-05,0.0
2012-07-09,0.0
